event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2004et,53277.5,12.94,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.5,12.13,0.02,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.5,12.35,0.02,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.5,12.67,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.702,12.9,0.018,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.702,12.36,0.021,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.702,12.308,0.035,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53277.702,12.65,0.013,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.24,11.446,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53278.24,11.488,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53278.24,11.422,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53278.24,11.579,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53278.25,12.89,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.25,12.1,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.25,12.34,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.25,12.17,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.25,12.67,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.725,12.932,0.026,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.725,12.331,0.012,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.725,12.224,0.034,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53278.725,12.633,0.021,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.4,12.9,0.04,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.4,12.01,0.02,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.4,12.28,0.02,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.4,12.6,0.02,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.7,12.907,0.017,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.7,12.314,0.013,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.7,12.254,0.034,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53279.7,12.629,0.016,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53280.21,11.47,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53280.21,12.91,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53280.21,11.479,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53280.21,12.09,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53280.21,11.42,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53280.21,12.33,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53280.21,12.2,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53280.21,11.57,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53280.21,12.65,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53282.5,12.98,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53282.5,12.01,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53282.5,12.27,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53282.5,12.65,0.02,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.15,11.602,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53284.15,12.97,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.15,11.514,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53284.15,12.07,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.15,11.458,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53284.15,12.31,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.15,12.32,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.15,11.606,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53284.15,12.66,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.618,12.908,0.012,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.618,12.019,0.018,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.618,12.216,0.014,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.618,12.418,0.032,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53284.618,12.556,0.012,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.5,13.02,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.5,11.98,0.02,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.5,12.26,0.02,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.5,12.64,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.565,12.921,0.016,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.565,12.009,0.014,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.565,12.2,0.026,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.565,12.514,0.035,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53285.565,12.547,0.013,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.16,11.646,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53287.16,13.01,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.16,11.485,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53287.16,12.04,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.16,11.448,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53287.16,12.3,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.16,12.45,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.16,11.639,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53287.16,12.68,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.559,12.963,0.016,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.559,11.962,0.014,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.559,12.182,0.018,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.559,12.563,0.038,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53287.559,12.549,0.022,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.16,11.649,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53288.16,13.03,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.16,11.431,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53288.16,12.01,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.16,11.41,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53288.16,12.29,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.16,12.56,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.16,11.597,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53288.16,12.68,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.4,13,0.02,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.4,11.98,0.02,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.4,12.23,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53288.4,12.58,0.02,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
