wavelength,flux
3299.350909,0
3499.815539,3.788242709e-14
3501.076322,1.406503461e-14
3502.337106,5.478868295e-15
3503.59789,-1.711667578e-14
3504.858674,-8.656724155e-15
3506.119458,1.588778344e-14
3507.380242,-9.584023638e-15
3508.641025,-1.286656515e-14
3509.901809,4.453428525e-14
3511.162593,2.80627843e-14
3512.423377,1.189751287e-14
3513.684161,-8.460687697e-15
3514.944945,-1.983888382e-15
3516.205728,1.686711785e-14
3517.466512,4.590232901e-15
3518.727296,-1.573861924e-14
3519.98808,6.259645478e-15
3521.248864,2.222815539e-14
3522.509648,1.202342432e-14
3523.770431,-5.308236896e-15
3525.031215,-4.146491398e-15
3526.291999,3.474871351e-15
3527.552783,1.430936804e-15
3528.813567,5.219779975e-15
3530.074351,4.543551221e-15
3531.335134,2.83049866e-15
3532.595918,5.512237158e-15
3533.856702,6.184186277e-15
3535.117486,-1.155430274e-14
3536.37827,-2.66290489e-14
3537.639054,-4.995013429e-15
3538.899837,-1.697158412e-15
3540.160621,4.254024772e-15
3541.421405,1.347531417e-14
3542.682189,6.442002778e-15
3543.942973,-5.082886745e-15
3545.203757,-5.701480412e-15
3546.46454,-1.086937581e-14
3547.725324,-1.047095438e-14
3548.986108,-5.064841131e-15
3550.246892,-7.011309715e-15
3551.507676,-6.428632786e-15
3552.76846,-2.578879952e-16
3554.029243,9.565403313e-16
3555.290027,-4.851178341e-15
3556.550811,-1.943212843e-14
3557.811595,1.657187986e-15
3559.072379,8.887337345e-15
3560.333163,1.603043056e-14
3561.593946,2.389854672e-14
3562.85473,5.001223028e-15
3564.115514,-2.057862734e-15
3565.376298,-1.027548797e-15
3566.637082,-6.868864608e-15
3567.897866,-2.016750084e-15
3569.158649,8.690580909e-15
3570.419433,6.387184499e-15
3571.680217,-2.265779464e-15
3572.941001,-2.285476792e-15
3574.201785,-4.57914651e-15
3575.462569,6.38183591e-15
3576.723352,8.792577228e-15
3577.984136,4.543626607e-15
3579.24492,5.514920876e-16
3580.505704,-3.621036627e-15
3581.766488,2.167082974e-16
3583.027272,-4.343371925e-15
3584.288055,-1.170025668e-15
3585.548839,3.074077171e-15
3586.809623,-3.227602105e-15
3588.070407,-5.305918143e-15
3589.331191,1.999956173e-15
3590.591975,-2.913585551e-16
3591.852758,6.33422207e-15
3593.113542,2.66719579e-15
3594.374326,5.61299088e-15
3595.63511,1.034267717e-14
3596.895894,1.080631166e-14
3598.156678,8.724416487e-15
3599.417461,-3.094185098e-15
3600.678245,2.338120101e-16
3601.939029,5.34464576e-15
3603.199813,5.088074398e-15
