event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
ASASSN-14kg,56972.380,16.900,,T,V,,Atel/CBAT,2016MNRAS.459.3939V
ASASSN-14kg,56973.360,16.900,0.500,F,V,,Atel/CBAT,2016MNRAS.459.3939V
ASASSN-14kg,56978.360,16.400,0.100,F,V,,Atel/CBAT,2016MNRAS.459.3939V
ASASSN-14kg,56988.267,16.448,0.020,F,B,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.269,16.517,0.020,F,B,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.272,16.159,0.023,F,V,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.274,16.166,0.024,F,V,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.275,16.211,0.013,F,g,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.278,16.225,0.013,F,g,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.281,16.145,0.015,F,r,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.282,16.147,0.016,F,r,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.284,16.300,0.018,F,i,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.286,16.293,0.018,F,i,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.332,16.458,0.019,F,B,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.335,16.544,0.019,F,B,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.339,16.175,0.022,F,V,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.341,16.232,0.013,F,g,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.343,16.219,0.013,F,g,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.346,16.136,0.015,F,r,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.348,16.147,0.015,F,r,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.349,16.311,0.018,F,i,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56988.351,16.279,0.018,F,i,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56989.200,16.480,0.020,F,B,,1m0-08,2016MNRAS.459.3939V
ASASSN-14kg,56989.203,16.478,0.019,F,B,,1m0-08,2016MNRAS.459.3939V
