Table 8 
Mean Velocity Values and the Standard Deviation for Our Sample


Epoch	${{\rm{H}}}_{\alpha }$	${{\rm{H}}}_{\alpha }$	${{\rm{H}}}_{\beta }$	Fe II lambda4924	Fe II lambda5018	Fe II lambda5169	Fe II/Sc II	Sc II Mult.	Na I D	Ba II	Sc II	O I	
(Days)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	
4	8369 +or- 3930	12845 +or- 950	11379 +or- 1800	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
8.6	9399 +or- 3564	10702 +or- 1382	9605 +or- 1574	cdots	cdots	10447 +or- 1050	cdots	cdots	cdots	cdots	cdots	cdots	
12.8	9384 +or- 2240	9468 +or- 1787	8748 +or- 1653	3187 +or- 281	5298 +or- 1791	6871 +or- 2234	cdots	cdots	cdots	cdots	cdots	3280 +or- 1680	
18.1	9044 +or- 1576	8987 +or- 1430	8364 +or- 1478	3183 +or- 796	6237 +or- 1117	6300 +or- 1174	cdots	cdots	cdots	cdots	cdots	4888 +or- 2762	
23.1	7191 +or- 2027	7798 +or- 1966	7083 +or- 1690	3882 +or- 1025	5241 +or- 1328	5274 +or- 1254	5057 +or- 1995	5426 +or- 1612	cdots	5539 +or- 3200	5076 +or- 420	3951 +or- 1396	
27.7	7728 +or- 1606	8369 +or- 1825	7426 +or- 1527	4193 +or- 1499	5506 +or- 1229	5440 +or- 1098	6033 +or- 2276	5747 +or- 1826	cdots	4984 +or- 2790	4537 +or- 2678	4961 +or- 1900	
33.1	7319 +or- 1190	7745 +or- 1194	6668 +or- 1260	4240 +or- 1139	4974 +or- 1114	4942 +or- 892	5085 +or- 1307	4832 +or- 1267	5865 +or- 2029	4521 +or- 1595	4504 +or- 1323	4908 +or- 1586	
38.1	6815 +or- 1563	7478 +or- 1548	6297 +or- 1582	4135 +or- 1346	4641 +or- 1324	4428 +or- 1065	4835 +or- 1458	4427 +or- 1181	5479 +or- 1977	3979 +or- 1513	3837 +or- 1301	4274 +or- 1737	
42.8	6188 +or- 1807	6551 +or- 1745	5267 +or- 1600	3544 +or- 1158	3857 +or- 1097	3760 +or- 1045	3969 +or- 1188	3739 +or- 968	4411 +or- 1596	3164 +or- 1367	3621 +or- 1238	3587 +or- 1605	
47.8	6616 +or- 1864	7145 +or- 1772	5541 +or- 1688	3493 +or- 1130	4049 +or- 1181	3938 +or- 990	4243 +or- 1035	3956 +or- 899	4952 +or- 1634	3712 +or- 1165	3747 +or- 888	4090 +or- 947	
53.1	5975 +or- 1457	6535 +or- 1755	5004 +or- 1785	3307 +or- 1027	3654 +or- 1135	3537 +or- 851	3888 +or- 1181	3507 +or- 978	4408 +or- 1531	3258 +or- 1258	3227 +or- 1146	3520 +or- 1690	
58.6	5907 +or- 1883	6615 +or- 1900	5025 +or- 1774	3086 +or- 924	3682 +or- 1358	3631 +or- 973	3803 +or- 1371	3552 +or- 935	4491 +or- 1467	3047 +or- 815	3092 +or- 638	2861 +or- 1099	
63.3	5836 +or- 1597	6619 +or- 1565	4836 +or- 1548	3074 +or- 919	3455 +or- 1093	3401 +or- 758	3553 +or- 1073	3294 +or- 918	4284 +or- 1213	3062 +or- 735	3145 +or- 898	2919 +or- 1077	
68	5556 +or- 1053	6613 +or- 1038	4909 +or- 1146	2963 +or- 464	3378 +or- 722	3397 +or- 639	3342 +or- 609	3099 +or- 752	4359 +or- 1098	2785 +or- 581	2843 +or- 593	2786 +or- 1095	
72.8	5473 +or- 1496	6720 +or- 1564	4725 +or- 1665	2875 +or- 936	3203 +or- 952	3374 +or- 828	3352 +or- 1315	3074 +or- 935	4296 +or- 1426	3004 +or- 1123	2738 +or- 813	3091 +or- 1631	
78.2	5037 +or- 1706	6061 +or- 1660	4460 +or- 1553	2685 +or- 784	2980 +or- 778	3078 +or- 820	2981 +or- 852	2841 +or- 850	4229 +or- 1344	2792 +or- 877	2607 +or- 668	2682 +or- 1109	
83.5	5687 +or- 1722	6490 +or- 1883	4386 +or- 1492	2679 +or- 929	2863 +or- 1000	3074 +or- 919	2686 +or- 861	2734 +or- 700	4240 +or- 1156	2564 +or- 776	2428 +or- 773	2232 +or- 424	
87.5	4871 +or- 1664	6197 +or- 1930	4448 +or- 1514	2732 +or- 807	3217 +or- 937	3253 +or- 785	3041 +or- 855	2679 +or- 532	4335 +or- 1062	2735 +or- 724	2517 +or- 722	2986 +or- 16344	
93.3	4627 +or- 1541	5666 +or- 2016	4261 +or- 1493	2555 +or- 372	2841 +or- 811	2946 +or- 718	2607 +or- 610	2478 +or- 596	4200 +or- 1059	2484 +or- 554	2256 +or- 398	2493 +or- 12364	
