day v_Halpha verr_Halpha v_Hbeta verr_Hbeta v_FeII5169 verr_FeII5169
2.0 10810.0 400.0 10460.0 360.0 0.0 0.0
3.0 10540.0 70.0 10080.0 110.0 0.0 0.0
4.0 10210.0 70.0 10040.0 120.0 0.0 0.0
5.0 9560.0 110.0 9410.0 90.0 0.0 0.0
6.0 9550.0 160.0 9000.0 100.0 0.0 0.0
7.0 9820.0 50.0 8640.0 40.0 8030.0 130.0
8.0 9560.0 60.0 8570.0 60.0 8080.0 280.0
9.0 9260.0 60.0 8480.0 60.0 7690.0 180.0
10.0 9010.0 40.0 7920.0 60.0 7260.0 100.0
11.0 8880.0 40.0 7870.0 50.0 7250.0 60.0
21.0 7680.0 130.0 6630.0 120.0 5540.0 90.0
24.0 7160.0 30.0 6160.0 80.0 5200.0 130.0
26.0 7100.0 50.0 5870.0 90.0 5050.0 100.0
30.0 6650.0 40.0 5240.0 80.0 4660.0 60.0
34.0 6230.0 40.0 5050.0 40.0 4410.0 80.0
37.0 5860.0 190.0 4270.0 120.0 3910.0 130.0
40.0 5570.0 60.0 4160.0 60.0 3890.0 70.0
44.0 5120.0 50.0 4020.0 50.0 3960.0 120.0
47.0 4940.0 40.0 3870.0 50.0 3870.0 50.0
49.0 4830.0 80.0 3520.0 40.0 3660.0 40.0
76.0 5440.0 120.0 2310.0 70.0 2900.0 130.0
95.0 5100.0 610.0 2060.0 50.0 2660.0 110.0
96.0 5600.0 150.0 2120.0 160.0 2660.0 190.0
124.0 4440.0 50.0 2010.0 40.0 1960.0 40.0
138.0 3740.0 110.0 2190.0 60.0 1430.0 220.0
159.0 3580.0 30.0 2360.0 70.0 960.0 40.0
163.0 3630.0 90.0 2490.0 60.0 1000.0 120.0
313.0 3460.0 70.0 2190.0 240.0 1910.0 180.0
333.0 3520.0 30.0 2370.0 80.0 1910.0 90.0
