event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2004ej,53263.40,16.669,0.016,,V,,,2014ApJ...786...67A
SN2004ej,53265.41,16.710,0.022,,V,,,2014ApJ...786...67A
SN2004ej,53266.41,16.646,0.049,,V,,,2014ApJ...786...67A
SN2004ej,53267.41,16.722,0.077,,V,,,2014ApJ...786...67A
SN2004ej,53268.41,16.751,0.028,,V,,,2014ApJ...786...67A
SN2004ej,53271.41,16.809,0.027,,V,,,2014ApJ...786...67A
SN2004ej,53272.41,16.816,0.028,,V,,,2014ApJ...786...67A
SN2004ej,53273.39,16.796,0.016,,V,,,2014ApJ...786...67A
SN2004ej,53273.39,16.870,0.032,,V,,,2014ApJ...786...67A
SN2004ej,53274.37,16.792,0.020,,V,,,2014ApJ...786...67A
SN2004ej,53276.40,16.857,0.030,,V,,,2014ApJ...786...67A
SN2004ej,53277.40,16.834,0.022,,V,,,2014ApJ...786...67A
SN2004ej,53279.40,16.870,0.026,,V,,,2014ApJ...786...67A
SN2004ej,53280.39,16.870,0.018,,V,,,2014ApJ...786...67A
SN2004ej,53281.39,16.889,0.018,,V,,,2014ApJ...786...67A
SN2004ej,53287.34,16.949,0.044,,V,,,2014ApJ...786...67A
SN2004ej,53288.34,16.946,0.017,,V,,,2014ApJ...786...67A
SN2004ej,53291.39,17.046,0.043,,V,,,2014ApJ...786...67A
SN2004ej,53295.37,17.034,0.015,,V,,,2014ApJ...786...67A
SN2004ej,53300.36,17.069,0.019,,V,,,2014ApJ...786...67A
SN2004ej,53304.38,17.106,0.061,,V,,,2014ApJ...786...67A
SN2004ej,53308.37,17.193,0.018,,V,,,2014ApJ...786...67A
SN2004ej,53323.31,17.502,0.021,,V,,,2014ApJ...786...67A
SN2004ej,53325.35,17.616,0.035,,V,,,2014ApJ...786...67A
SN2004ej,53328.32,17.695,0.021,,V,,,2014ApJ...786...67A
SN2004ej,53330.33,17.858,0.017,,V,,,2014ApJ...786...67A
SN2004ej,53337.32,18.584,0.024,,V,,,2014ApJ...786...67A
SN2004ej,53341.31,19.359,0.023,,V,,,2014ApJ...786...67A
SN2004ej,53345.34,20.064,0.029,,V,,,2014ApJ...786...67A
SN2004ej,53353.36,20.214,0.045,,V,,,2014ApJ...786...67A
SN2004ej,53357.24,20.365,0.034,,V,,,2014ApJ...786...67A
SN2004ej,53362.23,20.361,0.072,,V,,,2014ApJ...786...67A
SN2004ej,53369.30,20.330,0.048,,V,,,2014ApJ...786...67A
SN2004ej,53395.21,20.537,0.081,,V,,,2014ApJ...786...67A
SN2004ej,53400.26,20.671,0.065,,V,,,2014ApJ...786...67A
SN2004ej,53407.15,20.632,0.068,,V,,,2014ApJ...786...67A
SN2004ej,53412.37,20.766,0.052,,V,,,2014ApJ...786...67A
SN2004ej,53414.19,20.820,0.044,,V,,,2014ApJ...786...67A
SN2004ej,53416.25,20.868,0.041,,V,,,2014ApJ...786...67A
SN2004ej,53418.23,20.833,0.043,,V,,,2014ApJ...786...67A
SN2004ej,53420.34,20.851,0.075,,V,,,2014ApJ...786...67A
SN2004ej,53422.17,21.117,0.240,,V,,,2014ApJ...786...67A
SN2004ej,53423.21,20.468,0.508,,V,,,2014ApJ...786...67A
SN2004ej,53424.22,20.730,0.119,,V,,,2014ApJ...786...67A
SN2004ej,53425.26,20.583,0.125,,V,,,2014ApJ...786...67A
SN2004ej,53426.27,21.213,0.141,,V,,,2014ApJ...786...67A
SN2004ej,53427.27,20.892,0.096,,V,,,2014ApJ...786...67A
SN2004ej,53428.28,20.916,0.102,,V,,,2014ApJ...786...67A
