wavelength,flux
3999.39963,1.100712896e-16
4000.663694,9.065877676e-17
4001.927758,2.642351043e-16
4003.191822,1.817167046e-16
4004.455886,7.613748379e-18
4005.71995,3.894893734e-17
4006.984014,1.133678988e-17
4008.248078,-1.221139871e-16
4009.512142,9.81009075e-17
4010.776206,3.030469745e-16
4012.04027,2.333666561e-16
4013.304334,2.312889637e-16
4014.568398,3.262160255e-16
4015.832462,1.894381907e-16
4017.096526,-8.789539133e-17
4018.36059,-8.592337289e-17
4019.624654,1.570594034e-16
4020.888718,3.602057901e-16
4022.152782,1.512815005e-16
4023.416846,-6.621644993e-17
4024.68091,3.614409362e-17
4025.944974,2.567357393e-16
4027.209038,3.255598661e-16
4028.473102,1.989803742e-16
4029.737166,-3.957080842e-17
4031.00123,-1.296614213e-16
4032.265293,-1.844842921e-16
4033.529357,-1.851312722e-18
4034.793421,3.452155833e-16
4036.057485,3.933158051e-16
4037.321549,1.044393212e-16
4038.585613,-1.091678826e-16
4039.849677,-1.713915582e-16
4041.113741,-6.552319978e-17
4042.377805,-4.774065957e-17
4043.641869,-1.091463693e-16
4044.905933,7.793716246e-17
4046.169997,3.346843168e-16
4047.434061,2.335247336e-16
4048.698125,-5.942379494e-17
4049.962189,-1.394964664e-16
4051.226253,-1.141929585e-16
4052.490317,-1.211291128e-16
4053.754381,-1.373014864e-16
4055.018445,-3.196910792e-17
4056.282509,7.121091353e-17
4057.546573,-6.266704439e-17
4058.810637,-2.527943361e-16
4060.074701,-1.624555989e-16
4061.338765,-9.716628605e-17
4062.602829,9.281288246e-18
4063.866893,1.320410942e-16
4065.130957,2.938962393e-16
4066.395021,3.778508628e-16
4067.659085,2.745490539e-16
4068.923149,2.251096201e-16
4070.187213,3.789886927e-16
4071.451277,3.265431126e-16
4072.715341,1.132715985e-16
4073.979405,5.628958774e-17
4075.243469,1.836429501e-16
4076.507533,1.195525198e-16
4077.771597,-3.469095566e-17
4079.035661,2.465134809e-16
4080.299725,5.776093427e-16
4081.563789,3.435807833e-16
4082.827853,1.428093711e-16
4084.091917,4.247051255e-16
4085.355981,7.552635449e-16
4086.620045,6.060629793e-16
4087.884109,8.001703201e-17
4089.148173,-2.450580931e-16
4090.412237,-1.051589683e-16
4091.676301,-7.645611873e-17
4092.940365,-4.733734285e-17
4094.204429,1.578545953e-16
4095.468493,2.023684001e-16
4096.732557,1.339912817e-16
4097.996621,3.105884e-16
4099.260685,5.097517863e-16
4100.524749,3.090875105e-16
4101.788813,-7.633509228e-17
4103.052877,-1.132406818e-16
4104.316941,1.403673751e-16
4105.581005,2.610868416e-16
4106.845069,2.086358616e-16
4108.109133,2.372404554e-16
4109.373197,2.725670497e-16
4110.637261,1.035700206e-16
