event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2012A,55936.7951,14.167,0.055,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55936.8058,12.845,0.043,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55936.8091,14.139,0.047,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1016,12.816,0.043,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1023,14.056,0.046,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1043,12.974,0.046,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1063,14.158,0.060,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1092,12.602,0.045,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55937.1346,12.621,0.043,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0369,13.048,0.034,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0377,12.958,0.032,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0388,14.005,0.036,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0396,13.983,0.034,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0408,13.885,0.053,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0417,14.019,0.044,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0766,13.750,0.054,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0810,13.478,0.052,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.0835,13.160,0.048,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.5107,13.088,0.044,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55940.6129,13.922,0.056,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55941.3740,14.168,0.060,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55941.3863,14.181,0.063,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55942.5120,14.419,0.070,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55942.5183,14.397,0.074,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55942.5234,13.809,0.056,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55944.1179,13.453,0.047,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.7812,13.921,0.047,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.7820,13.801,0.039,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.7831,14.286,0.040,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.7851,14.042,0.058,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.7854,14.088,0.060,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.9162,16.068,0.140,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.9184,16.242,0.141,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55946.9200,15.111,0.092,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55947.1958,16.377,0.158,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012A,55947.4219,15.281,0.083,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
