event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2017eaw,57879.531,21.5,,T,G,Astrometric,Gaia,Transient Name Server
SN2017eaw,57887.5922,12.227,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5931,13.264,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5979,13.112,0.033,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6534,12.239,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6544,13.305,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9192,12.143,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9198,12.184,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9209,13.249,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9216,13.249,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9243,12.983,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.925,13.067,0.033,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.97,13.32,0.02,F,B,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.68,0.02,F,I,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.92,0.02,F,R,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.62,0.04,F,U,,T60,2018arXiv180100340T
SN2017eaw,57887.97,13.13,0.01,F,V,,T60,2018arXiv180100340T
SN2017eaw,57888.6596,12.165,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6603,12.173,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6613,13.228,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.662,13.196,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6648,12.956,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6655,12.951,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7256,12.23,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7263,12.202,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7273,13.201,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.728,13.191,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7308,12.985,0.036,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7315,12.954,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8508,12.2,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8515,12.164,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8525,13.143,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8532,13.126,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8559,12.918,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8566,12.859,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.91,13.3,0.04,F,B,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.37,0.03,F,I,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.64,0.02,F,R,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.93,0.02,F,V,,P40,2018arXiv180100340T
SN2017eaw,57890.1125,12.202,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1132,12.223,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1142,13.117,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1149,13.148,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1176,12.822,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1183,12.841,0.031,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.182,12.282,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1827,12.205,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1837,13.212,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1844,13.159,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1872,12.767,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
