|          MJD |     mag |   dmag | filt |      source | nondet |
|   58408.6459 |  17.651 |  0.072 |    o |       ATLAS |  FALSE |
|   58424.4767 | 17.3027 | 0.0155 |   ip | Las Cumbres |  FALSE |
|   58424.4748 | 17.3668 | 0.0186 |   ip | Las Cumbres |  FALSE |
|   58424.4727 | 17.2406 | 0.0117 |   rp | Las Cumbres |  FALSE |
|   58424.4708 |  17.216 | 0.0115 |   rp | Las Cumbres |  FALSE |
|   58424.4679 | 17.1332 | 0.0078 |   gp | Las Cumbres |  FALSE |
|   58424.4651 | 17.1274 | 0.0077 |   gp | Las Cumbres |  FALSE |
|    58424.463 | 17.1783 | 0.0164 |    V | Las Cumbres |  FALSE |
|   58424.4611 | 17.2113 | 0.0161 |    V | Las Cumbres |  FALSE |
|   58424.4581 |  17.357 | 0.0154 |    B | Las Cumbres |  FALSE |
|   58424.4553 | 17.3169 | 0.0148 |    B | Las Cumbres |  FALSE |
|   58424.4511 | 15.6275 |  0.028 |    U | Las Cumbres |  FALSE |
|   58424.4472 | 15.6512 |  0.027 |    U | Las Cumbres |  FALSE |
|   58449.3142 | 17.1665 | 0.0172 |   ip | Las Cumbres |  FALSE |
|   58449.3124 | 17.1512 | 0.0182 |   ip | Las Cumbres |  FALSE |
|   58449.3103 | 17.1703 | 0.0151 |   rp | Las Cumbres |  FALSE |
|   58449.3084 | 17.2167 | 0.0132 |   rp | Las Cumbres |  FALSE |
|   58449.3055 | 17.8835 | 0.0182 |   gp | Las Cumbres |  FALSE |
|   58449.3027 | 17.8315 | 0.0173 |   gp | Las Cumbres |  FALSE |
|   58449.3006 | 17.4242 | 0.0219 |    V | Las Cumbres |  FALSE |
|   58449.2987 | 17.4226 | 0.0219 |    V | Las Cumbres |  FALSE |
|   58449.2957 | 18.5172 | 0.0295 |    B | Las Cumbres |  FALSE |
|   58449.2929 | 18.4522 | 0.0379 |    B | Las Cumbres |  FALSE |
|   58449.2888 | 18.1043 | 0.2209 |    U | Las Cumbres |  FALSE |
|   58449.2848 | 17.9784 |  0.206 |    U | Las Cumbres |  FALSE |
|   58445.3794 | 17.1973 | 0.0473 |   ip | Las Cumbres |  FALSE |
|   58445.3775 | 17.1736 | 0.1312 |   ip | Las Cumbres |  FALSE |
|   58445.3677 | 17.6268 | 0.1108 |   gp | Las Cumbres |  FALSE |
|   58445.3657 | 17.4166 | 0.1108 |    V | Las Cumbres |  FALSE |
|   58445.3638 | 17.3591 | 0.0379 |    V | Las Cumbres |  FALSE |
|   58445.3608 | 18.3996 | 0.0653 |    B | Las Cumbres |  FALSE |
|    58445.358 | 18.4418 |  0.089 |    B | Las Cumbres |  FALSE |
|   58445.3538 | 17.5834 | 0.3038 |    U | Las Cumbres |  FALSE |
|   58445.3498 | 17.6067 | 0.3253 |    U | Las Cumbres |  FALSE |
|    58443.425 | 17.1253 | 0.0151 |   ip | Las Cumbres |  FALSE |
|   58443.4231 | 17.1256 | 0.0152 |   ip | Las Cumbres |  FALSE |
|   58443.4211 | 17.1727 | 0.0131 |   rp | Las Cumbres |  FALSE |
|   58443.4192 | 17.1387 | 0.0131 |   rp | Las Cumbres |  FALSE |
|   58443.4162 | 17.6074 | 0.0143 |   gp | Las Cumbres |  FALSE |
|   58443.4134 | 17.6429 | 0.0152 |   gp | Las Cumbres |  FALSE |
|   58443.4113 | 17.3475 | 0.0225 |    V | Las Cumbres |  FALSE |
|   58443.4095 |  17.322 | 0.0222 |    V | Las Cumbres |  FALSE |
|   58443.4065 | 18.1576 | 0.0334 |    B | Las Cumbres |  FALSE |
|   58443.4037 | 18.1238 | 0.0304 |    B | Las Cumbres |  FALSE |
|   58443.3995 | 17.5509 | 0.1182 |    U | Las Cumbres |  FALSE |
|   58443.3955 | 17.6196 | 0.1534 |    U | Las Cumbres |  FALSE |
|   58442.3329 | 17.2415 | 0.0173 |   ip | Las Cumbres |  FALSE |
|    58442.331 | 17.2184 | 0.0163 |   ip | Las Cumbres |  FALSE |
|    58442.329 |  17.181 | 0.0152 |   rp | Las Cumbres |  FALSE |
|   58442.3271 | 17.1942 | 0.0162 |   rp | Las Cumbres |  FALSE |
|   58442.3241 | 17.6536 | 0.0143 |   gp | Las Cumbres |  FALSE |
|   58442.3213 | 17.6624 | 0.0163 |   gp | Las Cumbres |  FALSE |
|   58442.3192 | 17.3662 | 0.0216 |    V | Las Cumbres |  FALSE |
|   58442.3174 | 17.3165 | 0.0238 |    V | Las Cumbres |  FALSE |
|   58442.3143 | 18.1543 | 0.0259 |    B | Las Cumbres |  FALSE |
|   58442.3115 | 18.1408 | 0.0286 |    B | Las Cumbres |  FALSE |
|   58442.3073 | 17.0759 | 0.0903 |    U | Las Cumbres |  FALSE |
|   58442.3034 | 17.3745 | 0.1591 |    U | Las Cumbres |  FALSE |
|   58446.9410 |   17.41 |    0.0 |    G |        Gaia |  FALSE |
|   58447.0150 |   17.42 |    0.0 |    G |        Gaia |  FALSE |
|   58453.2897 | 17.2527 | 0.0143 |   ip | Las Cumbres |  FALSE |
|   58453.2879 | 17.3307 | 0.1493 |   ip | Las Cumbres |  FALSE |
|   58453.2865 | 17.2673 | 0.0152 |   rp | Las Cumbres |  FALSE |
|   58453.2846 | 17.3881 | 0.1013 |   rp | Las Cumbres |  FALSE |
|   58453.2816 | 18.0424 | 0.0121 |   gp | Las Cumbres |  FALSE |
|   58453.2788 | 17.6209 | 0.0253 |   gp | Las Cumbres |  FALSE |
|   58453.2767 | 17.5664 | 0.0188 |    V | Las Cumbres |  FALSE |
|   58453.2748 | 17.2454 | 0.0402 |    V | Las Cumbres |  FALSE |
|   58453.2718 | 18.7188 | 0.0262 |    B | Las Cumbres |  FALSE |
|    58453.269 | 18.5899 | 0.0657 |    B | Las Cumbres |  FALSE |
|   58453.2648 | 18.2053 | 0.2043 |    U | Las Cumbres |  FALSE |
|   58455.2693 | 17.5085 | 0.0185 |    V | Las Cumbres |  FALSE |
|   58455.2663 | 18.7224 | 0.0278 |    B | Las Cumbres |  FALSE |
|   58455.2635 | 18.5545 | 0.2817 |    B | Las Cumbres |  FALSE |
|   58455.2594 | 17.8884 | 0.1999 |    U | Las Cumbres |  FALSE |
|   58455.2833 | 17.2093 | 0.0133 |   ip | Las Cumbres |  FALSE |
|   58455.2814 | 18.1064 | 0.1223 |   ip | Las Cumbres |  FALSE |
|   58455.2793 | 17.2762 | 0.0112 |   rp | Las Cumbres |  FALSE |
|   58455.2774 | 16.7905 | 0.0781 |   rp | Las Cumbres |  FALSE |
|    58455.276 | 18.1497 | 0.0234 |   gp | Las Cumbres |  FALSE |
|   58455.2732 | 18.2414 | 0.0523 |   gp | Las Cumbres |  FALSE |
|   58455.2712 | 17.6494 | 0.0215 |    V | Las Cumbres |  FALSE |
|   58457.3209 | 17.2754 | 0.0214 |   ip | Las Cumbres |  FALSE |
|   58457.3191 |  17.338 | 0.0144 |   ip | Las Cumbres |  FALSE |
|   58457.3177 | 17.3142 | 0.0164 |   rp | Las Cumbres |  FALSE |
|   58457.3158 | 17.3824 | 0.0124 |   rp | Las Cumbres |  FALSE |
|   58457.3129 | 18.2759 | 0.0135 |   gp | Las Cumbres |  FALSE |
|   58457.3101 | 18.2366 | 0.0105 |   gp | Las Cumbres |  FALSE |
|   58457.3087 | 17.5535 | 0.0254 |    V | Las Cumbres |  FALSE |
|   58457.3069 | 17.5453 | 0.0195 |    V | Las Cumbres |  FALSE |
|   58457.3039 | 18.8603 |  0.027 |    B | Las Cumbres |  FALSE |
|   58457.3011 | 18.8414 | 0.0259 |    B | Las Cumbres |  FALSE |
|   58465.3224 | 17.3162 | 0.0141 |   ip | Las Cumbres |  FALSE |
|   58465.3204 | 17.4587 | 0.0131 |   rp | Las Cumbres |  FALSE |
|   58465.3185 | 17.4193 | 0.0121 |   rp | Las Cumbres |  FALSE |
|   58465.3144 | 18.3471 | 0.0092 |   gp | Las Cumbres |  FALSE |
|   58465.3104 | 18.3553 | 0.0102 |   gp | Las Cumbres |  FALSE |
|   58465.3084 | 17.8253 | 0.0215 |    V | Las Cumbres |  FALSE |
|   58465.3065 | 17.8008 | 0.0209 |    V | Las Cumbres |  FALSE |
|   58465.3024 | 19.0793 | 0.0278 |    B | Las Cumbres |  FALSE |
|   58465.2984 | 19.1049 |  0.026 |    B | Las Cumbres |  FALSE |
|   58472.3512 | 17.4465 | 0.0213 |   ip | Las Cumbres |  FALSE |
|   58472.3493 |  17.418 | 0.0212 |   ip | Las Cumbres |  FALSE |
|   58472.3473 | 17.6254 | 0.0202 |   rp | Las Cumbres |  FALSE |
|   58472.3454 |  17.588 | 0.0192 |   rp | Las Cumbres |  FALSE |
|   58472.3413 | 18.6188 | 0.0263 |   gp | Las Cumbres |  FALSE |
|   58472.3374 | 18.6575 | 0.0312 |   gp | Las Cumbres |  FALSE |
|   58472.3354 | 17.8505 | 0.0348 |    V | Las Cumbres |  FALSE |
|   58472.3336 | 17.9056 | 0.0357 |    V | Las Cumbres |  FALSE |
|   58472.3294 | 19.4283 | 0.0957 |    B | Las Cumbres |  FALSE |
|   58472.3255 | 19.1941 | 0.0789 |    B | Las Cumbres |  FALSE |
|   58476.2956 | 17.4421 | 0.0342 |   ip | Las Cumbres |  FALSE |
|   58476.2938 | 17.5446 | 0.0312 |   ip | Las Cumbres |  FALSE |
|   58476.2918 | 17.5851 | 0.0392 |   rp | Las Cumbres |  FALSE |
|   58476.2899 | 17.6043 | 0.0293 |   rp | Las Cumbres |  FALSE |
|   58476.2858 | 18.8119 | 0.0374 |   gp | Las Cumbres |  FALSE |
|   58476.2819 | 18.7931 | 0.0363 |   gp | Las Cumbres |  FALSE |
|   58476.2799 | 17.9014 | 0.0433 |    V | Las Cumbres |  FALSE |
|    58476.278 | 17.8759 | 0.0432 |    V | Las Cumbres |  FALSE |
|   58476.2739 | 19.4707 | 0.1019 |    B | Las Cumbres |  FALSE |
|     58476.27 | 19.5916 | 0.1159 |    B | Las Cumbres |  FALSE |
|   58476.2485 | 17.5849 | 0.0224 |   rp | Las Cumbres |  FALSE |
|   58476.2444 | 18.7897 | 0.0422 |   gp | Las Cumbres |  FALSE |
|   58476.2404 | 18.6608 | 0.0383 |   gp | Las Cumbres |  FALSE |
|   58476.2384 |  18.032 | 0.0485 |    V | Las Cumbres |  FALSE |
|   58476.2366 | 17.9276 |  0.039 |    V | Las Cumbres |  FALSE |
|   58476.2325 | 19.3961 | 0.1018 |    B | Las Cumbres |  FALSE |
|   58476.2285 | 19.3983 | 0.1236 |    B | Las Cumbres |  FALSE |
|    58480.382 | 17.5093 | 0.0192 |   ip | Las Cumbres |  FALSE |
|   58480.3802 | 17.4944 | 0.0172 |   ip | Las Cumbres |  FALSE |
