#SN		Galaxy			Vr(hel)	Mbhost	DM		error	NaDEW	Av		error	t_0		error	type	tpT		error	t_tran	error	t_end	error	max		error	Mmax	error	end		error	Mend	error	tail	error	Mtail	error	s1		error	s2		error	s3		error	Nimass	lerror	herror	Pd		error	OPTd	error		sstart		send		s3start
1986L	NGC 1559		1305	-21.34	31.72	0.20	0.00	0.00	0.07	46708.0	3		N		46818.4	0.6		46742.5	0.7		46801.7	4.3		-18.19	0.20	-18.19	0.21	-16.88	0.20	-16.88	0.22	-14.37	0.20	-14.37	0.22	3.32	0.16	1.28	0.03	INDEF	INDEF	0.0606*	INDEF	INDEF	59.17	4.31	93.74	5.20		46729.2		46796.4		INDEF
1991al	LEDA 140858		4575	-18.28	33.94	0.15	0.33	0.11	0.07	48443.5	9		S		48518.8	0.6		INDEF	INDEF	INDEF	INDEF	-17.51	0.15	-17.62	0.17	-17.03	0.15	-17.14	0.17	-14.71	0.15	-14.82	0.17	INDEF	INDEF	1.55	0.06	1.26	0.26	0.0666	0.0159	0.0209	INDEF	INDEF	INDEF	INDEF   	48458.7		48508.7		48537.6
1992ad	NGC 4411B		1272	-18.31	31.13	0.80	0.00	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.98	0.80	INDEF	INDEF	-16.13	0.80	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.23	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	48806.4		48846.6		INDEF
1992af	ESO 340-G038	5541	-19.67	34.33	0.12	0.00	0.00	0.27	48791.5	6		S		48861.1	0.4		INDEF	INDEF	48845.5 4.3		-17.33	0.12	-17.33	0.30	-17.20	0.12	-17.20	0.30	-15.06	0.12	-15.06	0.30	INDEF	INDEF	0.37	0.09	1.07	0.08	0.0789	0.0184	0.0293	INDEF	INDEF	54.03	7.35    	48805.7		48831.9		48872.5
1992am	MCG -01-04-039	14397	-21.44	36.42	0.05	0.00	INDEF	INDEF	INDEF	INDEF	INDEF	48947.2	0.0		INDEF	INDEF	INDEF	INDEF	-18.06	0.05	INDEF	INDEF	-17.17	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.17	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	48832.8		48922.7		INDEF
1992ba	NGC 2082		1185	-17.99	30.41	0.80	0.03	0.05	0.03	48888.5	8		S		49014.0	1.0		INDEF	INDEF	48992.4	4.3		-15.34	0.80	-15.39	0.80	-14.75	0.80	-14.80	0.80	-12.34	0.80	-12.39	0.80	INDEF	INDEF	0.73	0.02	0.86	0.07	0.0113	0.0064	0.0148	INDEF	INDEF	103.97	9.06    	48904.7		48979.8		49037.6
1993A	anon			8790	INDEF	35.44	0.07	0.00	INDEF	INDEF	48995.5	9		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.44	0.07	INDEF	INDEF	-15.91	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.72	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	49007.6		49091.7		INDEF
1993K	NGC 2223		2724	-20.85	32.95	0.23	0.80	0.37	0.19	49065.5	9		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.92	0.23	-18.29	0.30	-17.24	0.23	-17.61	0.30	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.46	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	49083.4		49109.6		INDEF
1993S	2MASX J22522390	9903	-20.55	35.60	0.07	0.00	0.00	0.24	49130.5	4		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.52	0.07	-17.52	0.25	-16.29	0.07	-16.29	0.26	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.52	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	49152.8		49202.9		INDEF
1999br	NGC 4900		960		-19.43	31.19	0.40	0.00	0.00	0.04	51276.5	4		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-13.77	0.40	-13.77	0.40	-13.56	0.40	-13.56	0.40	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.14	0.02	INDEF	INDEF	0.0021*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	51283.4		51380.6		INDEF
1999ca	NGC 3120		2793	-20.39	33.15	0.21	0.66	0.26	0.15	51277.5	7		S		51373.2	0.8		51318.7	0.8		51357.9	4.3		-17.48	0.21	-17.74	0.26	-16.60	0.21	-16.86	0.26	-13.78	0.21	-14.04	0.26	3.41	0.15	1.73	0.04	1.74	0.33	0.0474*	INDEF	INDEF	39.27	4.33	80.48	8.19    	51305.4		51355.6		51464.8
1999cr	ESO 576-G034	6069	-20.41	34.70	0.10	0.71	0.30	0.15	51247.5	7		S		51350.2	3.1		51284.1	1.3		51325.5	4.3		-16.90	0.10	-17.20	0.19	-16.23	0.10	-16.53	0.19	INDEF	INDEF	INDEF	INDEF	1.80	0.06	0.58	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	41.42	4.44	78.06	8.19    	51256.7		51320.7		INDEF
1999eg	IC 1861			6708	-20.90	34.75	0.10	0.00	INDEF	INDEF	51440.5	7		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.86	0.10	INDEF	INDEF	-16.12	0.10	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.70	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	51471.7		51509.8		INDEF
1999em	NGC 1637		717		-19.10	30.37	0.07	1.34	0.18	0.06	51476.5	5		N		51590.1	0.9		INDEF	INDEF	51572.5	4.3		-16.76	0.07	-16.94	0.10	-16.37	0.07	-16.55	0.10	-13.93	0.07	-14.11	0.10	INDEF	INDEF	0.31	0.02	0.88	0.05	0.0495	0.0075	0.0089	INDEF	INDEF	96.04	6.56    	51495.6		51551.8		51613.5
2002ew	anon			8982	INDEF	35.38	0.08	0.00	0.00	0.07	52500.5	10		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.42	0.08	-17.42	0.11	-14.95	0.08	-14.95	0.12	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.58	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52528.4		52572.7		INDEF
2002fa	NEAT J205221.51	18000	INDEF	36.92	0.04	0.00	INDEF	INDEF	52503.5	7		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.95	0.04	INDEF	INDEF	-16.65	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.58	0.10	INDEF	INDEF	0.0657*	INDEF	INDEF	INDEF	INDEF	67.29	8.19    	52528.5		52568.6		INDEF
2002gd	NGC 7537		2676	-19.82	32.50	0.28	0.00	0.00	0.06	52552.5	4		S		INDEF	INDEF	52583	0.8		INDEF	INDEF	-15.43	0.28	-15.43	0.29	-14.85	0.28	-14.85	0.29	INDEF	INDEF	INDEF	INDEF	2.87	0.25	0.11	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52568.5		52615.7		INDEF
2002gw	NGC 922			3084	-20.81	32.98	0.23	0.00	0.00	0.05	52559.5	5		S		52661.2	0.8		INDEF	INDEF	52641.8	4.3		-15.76	0.23	-15.76	0.24	-15.48	0.23	-15.48	0.24	-13.07	0.23	-13.07	0.24	INDEF	INDEF	0.30	0.03	0.75	0.09	0.0122	0.0030	0.0040	INDEF	INDEF	82.33	6.56    	52567.7		52625.8		52694.5
2002hj	NPM1G +04.0097	7080	INDEF	34.87	0.10	0.00	0.00	0.11	52562.5	7		N		52661.8	0.8		INDEF	INDEF	52652.7	4.3		-16.91	0.10	-16.91	0.16	-16.03	0.10	-16.03	0.16	-13.59	0.10	-13.59	0.16	INDEF	INDEF	1.92	0.03	1.41	0.01	0.0257*	INDEF	INDEF	INDEF	INDEF	90.24	8.19    	52585.6		52649.8		52672.6
2002hx	PCG 23727		9300	INDEF	35.59	0.07	0.00	0.00	0.23	52582.5	9		N		52658.9	0.8		INDEF	INDEF	52650.5	4.3		-17.00	0.07	-17.00	0.25	-16.36	0.07	-16.36	0.25	-14.60	0.07	-14.60	0.25	INDEF	INDEF	1.54	0.04	1.24	0.04	0.0537	0.0160	0.0229	INDEF	INDEF	68.03	9.95    	52596.7		52645.9		52665.7
2002ig	anon			23100	INDEF	37.47	0.03	0.00	INDEF	INDEF	52572.5	4		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.66	0.03	INDEF	INDEF	-16.76	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.73	0.11	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52585.6		52625.7		INDEF
2003B	NGC 1097		1272	-21.42	31.11	0.28	0.53	0.18	0.09	52616.5	11		S		52713.8	0.9		INDEF	INDEF	52699.6	4.3		-15.36	0.28	-15.54	0.30	-15.11	0.28	-15.29	0.30	-12.77	0.28	-12.95	0.30	INDEF	INDEF	0.65	0.03	1.07	0.03	0.0166	0.0057	0.0089	INDEF	INDEF	83.19	11.79   	52645.6		52694.7		52734.5
