Gaia18doi
#Date,JD,averagemag.
2014-11-19 10:01:45,2456980.918,null
2015-03-07 20:36:10,2457089.358,null
2015-03-26 18:49:19,2457108.284,null
2015-04-29 12:12:35,2457142.009,null
2015-04-29 13:59:20,2457142.083,null
2015-09-01 00:02:34,2457266.502,null
2015-09-01 01:48:45,2457266.576,null
2015-09-01 06:02:31,2457266.752,null
2015-09-23 06:10:06,2457288.757,null
2015-09-23 07:56:16,2457288.831,null
2015-10-25 17:51:20,2457321.244,null
2015-12-03 10:58:42,2457359.957,null
2015-12-03 12:45:28,2457360.032,null
2015-12-13 00:52:21,2457369.536,null
2015-12-13 05:06:06,2457369.713,null
2015-12-13 06:52:52,2457369.787,null
2016-03-17 01:52:23,2457464.578,null
2016-04-09 01:44:29,2457487.573,null
2016-04-09 03:31:14,2457487.647,null
2016-05-10 01:21:51,2457518.557,null
2016-09-11 03:00:23,2457642.625,null
2016-09-11 07:14:09,2457642.801,null
2016-11-04 13:00:25,2457697.042,null
2017-03-27 12:05:59,2457840.004,null
2017-04-23 17:49:39,2457867.243,null
2017-04-23 22:03:23,2457867.419,null
2017-05-21 09:53:35,2457894.912,null
2017-05-21 11:40:20,2457894.986,null
2017-09-22 09:48:12,2458018.908,null
2017-09-22 11:34:22,2458018.982,null
2017-11-14 21:29:27,2458072.395,null
2017-11-14 23:16:13,2458072.470,null
2018-02-17 18:22:18,2458167.265,null
2018-02-17 20:09:02,2458167.340,null
2018-02-18 00:22:47,2458167.516,null
2018-02-18 02:09:31,2458167.590,null
2018-05-09 05:01:38,2458247.709,null
2018-06-01 17:03:13,2458271.211,null
2018-06-01 18:49:57,2458271.285,null
2018-10-03 16:59:27,2458395.208,null
2018-10-03 18:46:12,2458395.282,null
2018-11-05 12:19:10,2458428.013,null
2018-11-24 22:34:20,2458447.441,17.41
2018-11-25 00:20:55,2458447.515,17.42
2019-02-26 13:18:34,2458541.055,19.14
2019-02-26 15:05:08,2458541.129,19.2
2019-03-12 19:22:56,2458555.308,19.81
2019-04-18 12:33:01,2458592.023,20.25
2019-04-18 14:19:34,2458592.097,20.29

