,x,y,dy
0,3776.7,1.032e-14,4.4739999999999996e-30
1,3802.3,1.361e-14,4.093e-30
2,3827.9,1.3319999999999999e-14,3.802e-30
3,3853.4,1.258e-14,3.5219999999999995e-30
4,3879.0,1.218e-14,3.22e-30
5,3904.6,1.173e-14,2.898e-30
6,3930.1,1.0579999999999999e-14,2.568e-30
7,3955.7,1.235e-14,2.25e-30
8,3981.3,1.175e-14,1.958e-30
9,4006.8,1.2070000000000001e-14,1.7009999999999998e-30
10,4032.4,1.3269999999999998e-14,1.48e-30
11,4058.0,1.462e-14,1.294e-30
12,4083.6,1.354e-14,1.139e-30
13,4109.1,1.4219999999999998e-14,1.0119999999999999e-30
14,4134.7,1.416e-14,9.067e-31
15,4160.3,1.226e-14,8.201e-31
16,4185.8,1.3519999999999999e-14,7.4859999999999995e-31
17,4211.4,1.3669999999999998e-14,6.89e-31
18,4237.0,1.315e-14,6.390999999999999e-31
19,4262.6,1.3e-14,5.97e-31
20,4288.1,1.241e-14,5.608e-31
21,4313.7,1.206e-14,5.295e-31
22,4339.3,1.231e-14,5.019e-31
23,4364.8,1.281e-14,4.770999999999999e-31
24,4390.4,1.238e-14,4.544e-31
25,4416.0,1.2540000000000001e-14,4.334e-31
26,4441.6,1.237e-14,4.135e-31
27,4467.1,1.267e-14,3.9439999999999995e-31
28,4492.7,1.15e-14,3.76e-31
29,4518.3,1.197e-14,3.5799999999999995e-31
30,4543.8,1.146e-14,3.4049999999999994e-31
31,4569.4,1.184e-14,3.2329999999999994e-31
32,4595.0,1.155e-14,3.0659999999999997e-31
33,4620.5,1.2009999999999999e-14,2.903e-31
34,4646.1,1.221e-14,2.7449999999999997e-31
35,4671.7,1.28e-14,2.593e-31
36,4697.3,1.2909999999999999e-14,2.447e-31
37,4722.8,1.258e-14,2.3079999999999997e-31
38,4748.4,1.264e-14,2.176e-31
39,4774.0,1.1520000000000001e-14,2.052e-31
40,4799.5,1.09e-14,1.935e-31
41,4825.1,1.097e-14,1.826e-31
42,4850.7,9.903e-15,1.7249999999999999e-31
43,4876.3,1.03e-14,1.63e-31
44,4901.8,1.043e-14,1.5429999999999999e-31
45,4927.4,1.0690000000000001e-14,1.4619999999999998e-31
46,4953.0,1.1390000000000001e-14,1.387e-31
47,4978.5,1.143e-14,1.318e-31
48,5004.1,1.117e-14,1.2539999999999998e-31
49,5029.7,1.079e-14,1.1949999999999999e-31
50,5055.3,1.099e-14,1.14e-31
51,5080.8,1.0579999999999999e-14,1.089e-31
52,5106.4,1.004e-14,1.0429999999999998e-31
53,5132.0,9.762e-15,9.988999999999999e-32
54,5157.5,9.848e-15,9.582999999999999e-32
55,5183.1,9.45e-15,9.204999999999999e-32
56,5208.7,9.533e-15,8.849999999999999e-32
57,5234.2,9.165000000000001e-15,8.517e-32
58,5259.8,9.071e-15,8.204e-32
59,5285.4,9.08e-15,7.909e-32
60,5311.0,9.176999999999999e-15,7.63e-32
61,5336.5,9.345e-15,7.365e-32
62,5362.1,9.475e-15,7.114e-32
