#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T07:08:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3aa2dc59da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/459/3939/tabled5
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled5}&key:source=J/MNRAS/459/3939/tabled5&HTTPPRM:&&-ref=VIZ5d3aa2dc59da&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&-out=tpt&-out=e_tpt&-out=a0&-out=E_a0&-out=e_a0&-out=w0&-out=E_w0&-out=e_w0&-out=m0&-out=E_m0&-out=e_m0&-out=p0&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/459/3939/tabled5
#-source=J/MNRAS/459/3939/tabled5
#-out=Name
#-out=tpt
#-out=e_tpt
#-out=a0
#-out=E_a0
#-out=e_a0
#-out=w0
#-out=E_w0
#-out=e_w0
#-out=m0
#-out=E_m0
#-out=e_m0
#-out=p0
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled5:
#Name: J/MNRAS/459/3939/tabled5
#Title: MCMC parameters on V band light curves
#Column	Name	(a14)	SN name	[ucd=meta.id;meta.main]
#Column	tpt	(F5.1)	Time of the drop (G1)	[ucd=time.epoch]
#Column	e_tpt	(F4.1)	rms uncertainty on tpt	[ucd=stat.error]
#Column	a0	(F8.5)	Depth of the drop (G1)	[ucd=phot.mag;arith.diff]
#Column	E_a0	(F8.5)	Error on a0, upper value	[ucd=stat.error;stat.max]
#Column	e_a0	(F8.5)	Error on a0, lower value	[ucd=stat.error]
#Column	w0	(F8.5)	Shape of the drop (G1)	[ucd=phot.flux;arith.ratio]
#Column	E_w0	(F8.5)	Error on w0, upper value	[ucd=stat.error;stat.max]
#Column	e_w0	(F8.5)	Error on w0, lower value	[ucd=stat.error]
#Column	m0	(F8.5)	m0 parameter (G1)	[ucd=stat.fit.param]
#Column	E_m0	(F8.5)	Error on m0, upper value	[ucd=stat.error;stat.max]
#Column	e_m0	(F8.5)	Error on m0, lower value	[ucd=stat.error]
#Column	p0	(F7.4)	p0 parameter (G1)	[ucd=stat.fit.param]
Name	tpt	e_tpt	a0	E_a0	e_a0	w0	E_w0	e_w0	m0	E_m0	e_m0	p0
 	 	 	 	 	 	 	 	 	 	 	 	
--------------	-----	----	--------	--------	--------	--------	--------	--------	--------	--------	--------	-------
2013bu        	103.1	 4.5	 3.08170	 0.15800	 0.14293	 3.51516	 0.60600	 0.60607	20.27520	 0.14960	 0.13669	 0.0120
2013fs        	 82.7	 0.5	 1.59863	 0.09900	 0.07214	 2.27769	 2.47320	 2.47329	18.76480	 0.13160	 0.08128	 0.0120
LSQ13dpa      	128.7	 2.0	 1.71574	 0.07200	 0.07241	 4.67327	 0.54640	 0.54648	20.36860	 0.07000	 0.07038	 0.0042
2014dw        	 91.3	10.0	 1.75577	 0.05500	 0.05470	 3.37373	 0.38760	 0.38763	19.83370	 0.05320	 0.05096	 0.0260
ASASSN-14dq   	101.0	 5.5	 1.58685	 0.02900	 0.03044	 3.34375	 0.27780	 0.27782	18.73570	 0.01990	 0.01985	 0.0127
ASASSN-14gm   	110.6	 1.5	 1.65492	 0.03800	 0.04032	 5.95449	 0.51220	 0.51228	17.02060	 0.01440	 0.02153	 0.0082
ASASSN-14ha   	136.8	 1.5	 3.35748	 0.11900	 0.11385	 1.36023	 0.16640	 0.16644	19.12990	 0.11430	 0.11078	 0.0120
2013ab        	101.8	 1.0	 1.42075	 0.01300	 0.01308	 3.28386	 0.13770	 0.13777	17.18670	 0.01040	 0.01022	 0.0107
2013by        	 85.4	 2.0	 2.38699	 0.04500	 0.04446	 4.59398	 0.41810	 0.41813	17.19440	 0.02940	 0.02951	 0.0120
2013ej        	 98.8	 1.0	 2.23773	 0.03900	 0.03937	 3.41156	 0.32750	 0.32756	16.35470	 0.03240	 0.03192	 0.0134
2014G         	 87.5	 1.0	 1.34118	 0.04700	 0.04464	 2.66318	 0.30360	 0.30361	17.82740	 0.04240	 0.04137	 0.0238
1986L         	110.8	 6.0	 0.97384	 0.13400	 0.10437	 3.52309	 3.70490	 3.70490	16.72320	 0.17090	 0.12274	 0.0301
1979C         	 55.6	15.0	 0.54948	 0.02400	 0.02351	 2.55671	 0.59640	 0.59649	13.82830	 0.03410	 0.03110	 0.0277
1992ba        	125.5	 8.0	 1.87475	 0.03700	 0.03395	 5.33330	 0.76550	 0.76551	17.97920	 0.02590	 0.02509	 0.0086
1999em        	118.1	 1.0	 1.60486	 0.04100	 0.04035	 2.82646	 0.79980	 0.79981	16.14400	 0.03590	 0.03409	 0.0115
1999gi        	127.8	 3.1	 1.95904	 0.10200	 0.08906	 5.56184	 1.06340	 1.06342	17.36290	 0.06980	 0.06503	 0.0092
2001X         	114.7	 5.0	 1.40032	 0.03300	 0.03216	 4.10216	 0.31090	 0.31096	17.27810	 0.03370	 0.03265	 0.0131
