#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T12:08:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3aed37471b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled3}&key:source=J/MNRAS/459/3939/tabled3&HTTPPRM:&
#-source=J/MNRAS/459/3939/tabled3
#-order=I
#-out=Name
#-out=logL1(0)
#-out=S1
#-out=e_S1
#-out=n_e_S1
#-out=phstart1
#-out=phstop1
#-out=logL2(0)
#-out=S2
#-out=e_S2
#-out=phstart2
#-out=phstop2
#-out=MNi
#-out=e_MNi
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled3:
#Name: J/MNRAS/459/3939/tabled3
#Title: *Bolometric light curve parameters
#Column	Name	(a13)	SN name	[ucd=meta.id;meta.main]
#Column	logL1(0)	(F5.2)	? Luminosity of the initial, steeper slope of the light curve (Log10(Lum1(0))	[ucd=phys.luminosity]
#Column	S1	(F7.4)	? Decline rate of the initial, steeper slope of the light curve	[ucd=src.var.amplitude]
#Column	e_S1	(F7.4)	? rms uncertainty on S1	[ucd=stat.error]
#Column	n_e_S1	(A1)	[i] i for infinity	[ucd=meta.note]
#Column	phstart1	(F4.1)	? Starting day of initial slope	[ucd=arith.grad;time.start]
#Column	phstop1	(F4.1)	? Ending day of initial slope	[ucd=arith.grad;time.end]
#Column	logL2(0)	(F5.2)	? Luminosity of the second, shallower slope of the light curve (Log10(Lum2(0))	[ucd=phys.luminosity]
#Column	S2	(F7.4)	? Decline rate of the second, shallower slope of the light curve	[ucd=src.var.amplitude]
#Column	e_S2	(F7.4)	? rms uncertainty on S2	[ucd=stat.error]
#Column	phstart2	(F4.1)	? Starting day of second slope	[ucd=arith.grad;time.start]
#Column	phstop2	(F5.1)	? Ending day of second slope	[ucd=arith.grad;time.end]
#Column	MNi	(F7.4)	? Ni mass	[ucd=phys.mass]
#Column	e_MNi	(F7.4)	? rms uncertainty on MNi	[ucd=stat.error]
Name	logL1(0)	S1	e_S1	n_e_S1	phstart1	phstop1	logL2(0)	S2	e_S2	phstart2	phstop2	MNi	e_MNi
 	[Lsun]	 	 	 	d	d	[Lsun]	 	 	d	d	Msun	Msun
-------------	-----	-------	-------	-	----	----	-----	-------	-------	----	-----	-------	-------
2013ai       	41.62	-0.0081	 0.0001	 	18.6	49.5	41.47	-0.0057	 0.0005	54.5	 92.2	       	
2013bu       	41.24	-0.0044	 0.0003	 	 6.2	35.1	41.18	-0.0020	 0.0003	35.1	 78.1	 0.0021	 0.0007
2013fs       	42.47	-0.0146	 0.0009	 	 4.5	27.6	42.19	-0.0054	 0.0002	31.5	 75.5	 0.0545	 0.0003
LSQ13dpa     	42.02	-0.0042	 0.0006	 	 5.5	36.9	41.99	-0.0021	 0.0004	43.4	114.3	 0.0714	 0.0127
2014cy       	41.66	-0.0060	 0.0005	 	 5.4	33.0	41.51	-0.0031	 0.0002	44.3	 94.5	 0.0037	 0.0038
2014dw       	42.23	-0.0135	 0.0005	 	14.2	38.2	42.18	-0.0113	 0.0003	47.5	 78.5	 0.0094	 0.0008
LSQ14gv      	42.19	-0.0081	 0.0014	 	 3.8	40.6	42.17	-0.0087	 0.0007	35.5	 70.6	       	
ASASSN-14dq  	42.36	-0.0098	 0.0004	 	 7.7	33.6	42.18	-0.0048	 0.0003	48.7	 82.6	 0.0461	 0.0079
ASASSN-14gm  	42.10	-0.0030	 0.0003	 	12.2	43.3	42.07	-0.0021	 0.0004	43.3	 85.6	 0.0767	 0.0102
ASASSN-14ha  	41.28	-0.0093	 0.0003	 	 1.8	37.5	41.02	-0.0020	 0.0002	42.9	121.5	 0.0014	 0.0002
2015W        	42.26	-0.0096	 0.0005	 	 9.8	45.3	42.08	-0.0061	 0.0006	51.4	 92.2	 0.0314	 0.0098
2013ab       	42.36	-0.0120	 0.0002	 	 8.8	36.4	42.00	-0.0027	 0.0001	42.4	 82.2	 0.0588	 0.0100
2013by       	42.80	-0.0167	 0.0007	 	 8.5	39.7	42.48	-0.0083	 0.0002	39.7	 67.6	 0.0320	 0.0043
2013ej       	42.46	-0.0136	 0.0004	 	 9.9	38.4	42.25	-0.0079	 0.0005	43.4	 83.0	 0.0207	 0.0019
2014G        	42.68	-0.0151	 0.0006	 	15.4	36.4	42.39	-0.0091	 0.0005	49.3	 78.4	 0.0341	 0.0006
1987A        	     	       	       	 	    	    	     	       	       	    	     	 0.0750	 0.0007
1990E        	     	       	       	 	    	    	     	       	       	    	     	 0.0653	 0.0134
