#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T12:26:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3af12bb6e6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled1}&key:source=J/MNRAS/459/3939/tabled1&HTTPPRM:&
#-source=J/MNRAS/459/3939/tabled1
#-order=I
#-out=Name
#-out=Date
#-out=JD
#-out=l_mag
#-out=mag
#-out=e_mag
#-out=Filter
#-out=Tel
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled1:
#Name: J/MNRAS/459/3939/tabled1
#Title: Photometric Data for 12 SNe
#Column	Name	(A11)	SN name	[ucd=meta.id;meta.main]
#Column	Date	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	JD	(F11.3)	Julian date	[ucd=time.epoch]
#Column	l_mag	(A1)	Limit flag on mag	[ucd=meta.code.error]
#Column	mag	(F6.3)	Magnitude in Filter (1)	[ucd=phot.mag]
#Column	e_mag	(F6.3)	? rms uncertainty on mag	[ucd=stat.error;phot.mag]
#Column	Filter	(A3)	Filter (2)	[ucd=meta.id;instr.filter]
#Column	Tel	(a9)	Telescope (3)	[ucd=meta.id;instr.tel]
Name	Date	JD	l_mag	mag	e_mag	Filter	Tel
 	"Y:M:D"	d	 	mag	mag	 	
-----------	----------	-----------	-	------	------	---	---------
SN 2013fs  	2013-10-07	2456572.781	 	16.270	 0.018	B  	1m0-08
SN 2013fs  	2013-10-08	2456573.665	 	16.103	 0.012	B  	1m0-08
SN 2013fs  	2013-10-09	2456574.662	 	16.004	 0.028	B  	1m0-08
SN 2013fs  	2013-10-10	2456575.652	 	15.984	 0.021	B  	1m0-08
SN 2013fs  	2013-10-11	2456576.752	 	16.068	 0.013	B  	1m0-08
SN 2013fs  	2013-10-18	2456583.619	 	16.250	 0.034	B  	1m0-08
SN 2013fs  	2013-10-20	2456585.630	 	16.357	 0.015	B  	1m0-08
SN 2013fs  	2013-10-21	2456586.627	 	16.398	 0.016	B  	1m0-08
SN 2013fs  	2013-10-22	2456587.739	 	16.481	 0.015	B  	1m0-08
SN 2013fs  	2013-10-23	2456588.678	 	16.477	 0.018	B  	1m0-08
SN 2013fs  	2013-10-25	2456590.682	 	16.574	 0.021	B  	1m0-08
SN 2013fs  	2013-10-26	2456591.714	 	16.646	 0.012	B  	1m0-08
SN 2013fs  	2013-10-27	2456592.703	 	16.624	 0.017	B  	1m0-08
SN 2013fs  	2013-10-28	2456593.601	 	16.725	 0.011	B  	1m0-08
SN 2013fs  	2013-10-29	2456594.659	 	16.720	 0.035	B  	1m0-08
SN 2013fs  	2013-11-02	2456598.711	 	16.931	 0.012	B  	1m0-08
SN 2013fs  	2013-11-03	2456599.690	 	17.002	 0.012	B  	1m0-08
SN 2013fs  	2013-11-06	2456602.604	 	17.110	 0.022	B  	1m0-08
SN 2013fs  	2013-11-10	2456606.683	 	17.252	 0.012	B  	1m0-08
SN 2013fs  	2013-11-20	2456616.680	 	17.601	 0.024	B  	1m0-08
SN 2013fs  	2013-11-21	2456617.531	 	17.568	 0.023	B  	1m0-05
SN 2013fs  	2013-12-03	2456629.550	 	17.807	 0.021	B  	1m0-09
SN 2013fs  	2013-12-05	2456631.547	 	17.972	 0.031	B  	1m0-09
SN 2013fs  	2013-12-11	2456637.553	 	17.951	 0.039	B  	1m0-04
SN 2013fs  	2013-12-14	2456640.662	 	18.148	 0.086	B  	1m0-08
SN 2013fs  	2013-12-17	2456643.609	 	18.223	 0.083	B  	1m0-08
SN 2013fs  	2013-12-20	2456646.639	 	18.264	 0.040	B  	1m0-08
SN 2013fs  	2013-12-23	2456649.622	 	18.755	 0.015	B  	1m0-08
SN 2013fs  	2014-01-15	2456672.566	 	20.103	 0.039	B  	1m0-08
SN 2013fs  	2014-01-19	2456676.564	 	20.307	 0.043	B  	1m0-08
SN 2013fs  	2013-10-07	2456572.793	 	16.573	 0.023	I  	1m0-08
SN 2013fs  	2013-10-08	2456573.677	 	16.265	 0.021	I  	1m0-08
