#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T08:31:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3aba599a39	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/tabled2}&key:source=J/MNRAS/459/3939/tabled2&HTTPPRM:&
#-source=J/MNRAS/459/3939/tabled2
#-order=I
#-out=Name
#-out=Vmag
#-out=e_Vmag
#-out=s50(V)
#-out=e_s50(V)
#-out=phstartV
#-out=phstopV
#-out=Rmag
#-out=e_Rmag
#-out=n_Rmag
#-out=s50(R)
#-out=e_s50(R)
#-out=n_s50(R)
#-out=phstartR
#-out=phstopR
#-out=Imag
#-out=e_Imag
#-out=s50(I)
#-out=e_s50(I)
#-out=phstartI
#-out=phstopI
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_tabled2:
#Name: J/MNRAS/459/3939/tabled2
#Title: *Slope Data
#Column	Name	(a11)	SN name	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? V magnitude at maximum light	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	s50(V)	(F8.5)	? Rise time in V band	[ucd=phot.flux;arith.ratio]
#Column	e_s50(V)	(F8.5)	? rms uncertainty on s50(V)	[ucd=stat.error]
#Column	phstartV	(F4.1)	? Starting day in V band	[ucd=time.epoch]
#Column	phstopV	(F4.1)	? Ending day in V band	[ucd=time.epoch]
#Column	Rmag	(F5.2)	? R magnitude at maximum light	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F5.2)	? rms uncertainty on Rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	n_Rmag	(A1)	[i] i for infinity	[ucd=meta.note]
#Column	s50(R)	(F8.5)	? Rise time in R band	[ucd=phot.flux;arith.ratio]
#Column	e_s50(R)	(F7.4)	? rms uncertainty on s50(R)	[ucd=stat.error]
#Column	n_s50(R)	(A1)	[i] i for infinity	[ucd=meta.note]
#Column	phstartR	(F4.1)	? Starting day in R band	[ucd=time.epoch]
#Column	phstopR	(F4.1)	? Ending day in R band	[ucd=time.epoch]
#Column	Imag	(F6.2)	? I magnitude at maximum light	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	? rms uncertainty in Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	s50(I)	(F8.5)	? Rise time in I band	[ucd=phot.flux;arith.ratio]
#Column	e_s50(I)	(F8.5)	? rms uncertainty on s50(I)	[ucd=stat.error]
#Column	phstartI	(F4.1)	? Starting day in I band	[ucd=time.epoch]
#Column	phstopI	(F4.1)	? Ending day in I band	[ucd=time.epoch]
Name	Vmag	e_Vmag	s50(V)	e_s50(V)	phstartV	phstopV	Rmag	e_Rmag	n_Rmag	s50(R)	e_s50(R)	n_s50(R)	phstartR	phstopR	Imag	e_Imag	s50(I)	e_s50(I)	phstartI	phstopI
 	mag	mag	mag	mag	 	 	mag	mag	 	 	 	 	 	 	mag	mag	 	 	 	
-----------	-----	-----	--------	--------	----	----	-----	-----	-	--------	-------	-	----	----	------	-----	--------	--------	----	----
2013ai     	16.80	 0.02	 0.02090	 0.00060	17.6	54.5	16.59	 0.02	 	 0.01290	 0.0004	 	17.6	64.5	 16.29	 0.05	 0.01120	 0.00090	19.6	63.5
2013bu     	16.33	 0.04	 0.00530	 0.00130	 6.2	48.1	15.61	 0.02	 	 0.00140	 0.0005	 	 6.2	57.1	 15.63	 0.01	-0.00270	 0.00040	 6.2	55.1
2013fs     	16.03	 0.04	 0.01580	 0.00140	 4.5	58.4	15.98	 0.03	 	 0.00750	 0.0009	 	14.5	60.4	 15.80	 0.03	 0.00650	 0.00080	14.5	69.6
LSQ13dpa   	18.31	 0.03	 0.00110	 0.00110	 5.5	54.4	18.05	 0.07	 	 0.00080	 0.0017	 	14.3	66.6	 18.36	 0.07	-0.00320	 0.00170	14.3	63.3
2014cy     	15.81	 0.04	 0.01240	 0.00120	 5.4	61.1	15.83	 0.03	 	 0.00640	 0.0008	 	 0.8	61.1	 15.97	 0.02	 0.00190	 0.00070	 5.4	61.1
2014dw     	15.55	 0.03	 0.02910	 0.00090	14.2	54.1	15.63	 0.02	 	 0.01850	 0.0006	 	11.6	63.8	 15.59	 0.03	 0.01700	 0.00070	14.2	63.8
LSQ14gv    	17.71	 0.04	 0.02390	 0.00120	 7.8	51.8	17.65	 0.07	 	 0.01570	 0.0019	 	 7.8	71.5	 17.71	 0.04	 0.01480	 0.00120	 7.8	71.5
ASASSN-14dq	15.69	 0.02	 0.01700	 0.00060	 5.5	55.0	15.67	 0.02	 	 0.01010	 0.0005	 	 9.1	66.9	 15.80	 0.02	 0.00960	 0.00040	 9.1	66.9
ASASSN-14gm	14.83	 0.02	 0.00260	 0.00050	 7.2	62.1	14.74	 0.02	 	 0.00030	 0.0005	 	 7.2	62.1	 14.90	 0.01	-0.00340	 0.00040	 7.2	62.1
ASASSN-14kg	15.67	 0.04	 0.02230	 0.00120	18.8	51.7	15.73	 0.07	 	 0.01430	 0.0016	 	21.6	68.7	 15.80	 0.07	 0.01380	 0.00150	23.8	68.7
ASASSN-14ha	14.89	 0.01	 0.00700	 0.00050	 3.1	60.4	15.00	 0.02	 	-0.00050	 0.0006	 	 3.1	72.2	 15.19	 0.01	-0.00430	 0.00050	 1.8	72.2
2015W      	16.40	 0.03	 0.02470	 0.00100	10.4	54.9	16.37	 0.04	 	 0.01270	 0.0011	 	 9.8	65.9	 16.29	 0.05	 0.01450	 0.00130	12.4	64.3
2013ab     	14.64	 0.02	 0.01490	 0.00060	 8.8	53.4	14.63	 0.02	 	 0.00750	 0.0005	 	 8.3	66.3	 14.58	 0.01	 0.00330	 0.00030	11.3	66.3
2013by     	12.87	 0.02	 0.02900	 0.00070	11.8	48.8	12.97	 0.02	 	 0.01760	 0.0005	 	 7.9	61.6	 12.91	 0.03	 0.01940	 0.00120	 7.5	51.8
2013ej     	12.14	 0.03	 0.02360	 0.00090	14.9	51.4	12.02	 0.04	 	 0.01610	 0.0011	 	14.9	66.3	 11.97	 0.06	 0.01240	 0.00170	14.9	63.3
2014G      	13.89	 0.03	 0.03350	 0.00080	14.4	53.6	13.97	 0.03	 	 0.02330	 0.0009	 	14.4	65.3	 13.90	 0.05	 0.02270	 0.00130	14.4	65.3
1986L      	13.53	 0.05	 0.02090	 0.00150	 8.2	62.3	     	     	 	        	       	 	    	    	      	     	        	        	    	
1987A      	 4.57	 0.01	-0.01890	 0.00040	 3.5	34.5	 4.22	 0.01	 	-0.02990	 0.0002	 	 6.5	56.5	  3.99	 0.02	-0.03440	 0.00080	 4.6	49.4
1979C      	11.73	 0.04	 0.02820	 0.00120	16.7	50.7	     	     	 	        	       	 	    	    	      	     	        	        	    	
1990E      	15.73	 0.02	-0.00820	 0.00130	 7.6	27.3	     	     	 	        	       	 	    	    	      	     	        	        	    	
1991al     	16.35	 0.03	 0.01510	 0.00080	15.3	56.1	16.10	 0.02	 	 0.01130	 0.0006	 	12.2	65.1	 16.01	 0.03	 0.00850	 0.00080	15.3	65.1
1992af     	17.11	 0.07	 0.00470	 0.00290	14.3	40.3	     	     	 	        	       	 	    	    	 15.66	 0.34	 0.02390	 0.00610	16.1	81.1
1992ba     	15.13	 0.03	 0.00720	 0.00070	16.3	68.3	     	     	 	        	       	 	    	    	      	     	        	        	    	
1993A      	     	     	        	        	    	    	     	     	 	        	       	 	    	    	 18.88	 0.06	 0.00080	 0.00150	16.7	77.7
1993K      	     	     	        	        	    	    	14.82	     	i	 0.01510	       	i	12.6	43.5	      	     	        	        	    	
1993S      	     	     	        	        	    	    	     	     	 	        	       	 	    	    	 17.60	 0.06	 0.01290	 0.00130	13.4	57.4
1999ca     	     	     	        	        	    	    	     	     	 	        	       	 	    	    	 14.88	 0.04	 0.01690	 0.00080	28.0	63.0
1999cr     	17.95	 0.02	 0.01380	 0.00050	 9.3	54.0	17.69	 0.01	 	 0.00910	 0.0003	 	 9.3	55.3	 17.46	 0.02	 0.00690	 0.00050	10.4	57.2
1999em     	13.80	 0.01	 0.00320	 0.00040	 5.4	55.2	13.64	 0.01	 	-0.00160	 0.0003	 	 8.3	70.3	 13.64	 0.01	-0.00740	 0.00030	 5.3	62.1
1999gi     	14.53	 0.03	 0.00640	 0.00060	11.8	71.7	14.39	 0.04	 	-0.00030	 0.0013	 	 4.1	60.4	 14.14	 0.01	-0.00310	 0.00040	 9.8	63.6
1999br     	17.56	 0.02	 0.00040	 0.00060	 7.0	59.0	17.35	 0.01	 	-0.00530	 0.0004	 	 8.5	57.5	 17.26	 0.02	-0.01120	 0.00050	 7.7	67.5
2000dc     	15.78	 0.04	 0.02570	 0.00140	11.2	50.2	15.61	 0.02	 	 0.01530	 0.0007	 	11.2	58.2	 15.36	 0.02	 0.01280	 0.00050	11.2	58.2
2001fa     	15.62	 0.07	 0.05130	 0.00320	 8.4	33.3	15.84	 0.13	 	 0.02820	 0.0035	 	11.4	80.2	 15.72	 0.08	 0.02480	 0.00330	 7.3	52.3
2001do     	15.54	 0.03	 0.02460	 0.00080	 8.0	52.9	15.25	 0.02	 	 0.01740	 0.0006	 	11.0	58.9	 15.05	 0.02	 0.01360	 0.00070	11.0	55.9
2001cy     	15.76	 0.03	 0.02090	 0.00110	 9.4	56.3	15.72	 0.01	 	 0.01230	 0.0005	 	 6.4	61.3	 15.71	 0.01	 0.00840	 0.00040	 6.4	66.3
2001X      	15.12	 0.02	 0.00440	 0.00050	13.1	63.9	14.93	 0.02	 	 0.00050	 0.0005	 	13.1	68.9	 14.96	 0.04	-0.00380	 0.00080	13.1	68.9
2002gd     	17.01	 0.04	 0.01490	 0.00140	 8.0	47.5	16.93	 0.03	 	 0.00380	 0.0008	 	 6.7	65.6	 16.89	 0.04	 0.00060	 0.00120	 8.0	63.6
2002gw     	17.29	 0.02	 0.00350	 0.00070	 8.3	56.3	     	     	 	        	       	 	    	    	 16.92	 0.02	-0.00520	 0.00070	 9.2	56.3
2002hj     	17.91	 0.04	 0.01660	 0.00100	23.2	53.2	     	     	 	        	       	 	    	    	 17.46	 0.03	 0.00980	 0.00070	23.2	57.1
2002hh     	16.15	 0.05	 0.00550	 0.00210	 3.1	43.1	     	     	 	        	       	 	    	    	 13.61	 0.03	 0.00050	 0.00130	 4.1	43.1
2003B      	15.65	 0.02	 0.00620	 0.00050	29.2	56.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2003E      	18.38	 0.04	 0.00100	 0.00090	14.2	67.1	     	     	 	        	       	 	    	    	 17.68	 0.03	-0.00370	 0.00080	13.7	59.6
2003T      	18.79	 0.03	 0.00870	 0.00100	14.2	56.2	     	     	 	        	       	 	    	    	 18.50	 0.02	-0.00180	 0.00060	14.2	56.2
2003Z      	17.17	 0.05	 0.00310	 0.00120	 4.8	61.7	16.94	 0.04	 	 0.00000	 0.0008	 	 8.9	74.5	 16.96	 0.02	-0.00670	 0.00050	 8.9	61.7
2003bl     	18.81	 0.02	 0.00430	 0.00050	 2.0	65.2	     	     	 	        	       	 	    	    	 18.64	 0.03	-0.00730	 0.00070	 2.8	54.7
2003bn     	17.13	 0.03	 0.00630	 0.00070	10.1	70.1	     	     	 	        	       	 	    	    	 16.95	 0.02	-0.00290	 0.00050	12.0	66.0
2003cn     	18.11	 0.04	 0.01510	 0.00120	14.4	45.2	     	     	 	        	       	 	    	    	 17.89	 0.06	 0.00600	 0.00160	13.9	62.7
2003cx     	19.35	 0.06	 0.00700	 0.00180	11.4	54.3	     	     	 	        	       	 	    	    	      	     	        	        	    	
2003ef     	17.40	 0.03	 0.00830	 0.00080	13.2	61.1	     	     	 	        	       	 	    	    	 16.83	 0.04	 0.00010	 0.00100	22.6	66.6
2003fb     	19.30	 0.09	 0.00600	 0.00180	21.3	66.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2003hd     	18.65	 0.05	 0.01380	 0.00130	 9.3	51.2	18.60	 0.04	 	 0.00500	 0.0008	 	13.2	72.2	 18.48	 0.04	 0.00200	 0.00090	13.2	57.2
2003hf     	16.62	 0.05	 0.03920	 0.00170	13.2	49.1	16.65	 0.04	 	 0.02910	 0.0013	 	13.2	55.1	 16.60	 0.06	 0.02290	 0.00160	15.2	52.1
2003hg     	17.43	 0.05	 0.01130	 0.00110	 6.2	64.1	16.84	 0.04	 	 0.00650	 0.0010	 	13.8	63.6	 16.48	 0.03	 0.00260	 0.00090	 5.7	63.6
2003hl     	16.40	 0.09	 0.00700	 0.00240	12.9	61.7	16.23	 0.05	 	 0.00030	 0.0012	 	10.9	59.7	 15.83	 0.06	-0.00380	 0.00140	14.0	63.8
2003hn     	14.10	 0.06	 0.01570	 0.00120	22.8	61.8	13.93	 0.03	 	 0.00990	 0.0008	 	20.8	61.8	 13.93	 0.02	 0.00550	 0.00040	20.8	76.7
2003ib     	17.72	 0.02	 0.01770	 0.00070	15.0	61.1	17.54	 0.05	 	 0.01230	 0.0012	 	16.6	62.5	 17.51	 0.02	 0.00770	 0.00050	14.5	62.5
2003ip     	16.24	 0.04	 0.02100	 0.00080	19.2	63.1	16.04	 0.05	 	 0.01370	 0.0011	 	18.7	62.6	 15.84	 0.04	 0.01260	 0.00080	18.7	69.6
2003iq     	15.63	 0.01	 0.00660	 0.00040	 6.9	51.8	15.41	 0.06	 	 0.00330	 0.0014	 	 7.4	72.2	 15.38	 0.05	-0.00110	 0.00140	 7.4	68.1
2004du     	16.60	 0.02	 0.01240	 0.00050	 9.8	60.7	16.39	 0.01	 	 0.00860	 0.0005	 	 9.8	41.7	 16.42	 0.02	 0.00320	 0.00050	16.7	60.7
2004et     	12.44	 0.04	 0.00930	 0.00100	 9.4	59.3	12.18	 0.03	 	 0.00340	 0.0008	 	 9.4	59.3	 11.95	 0.02	-0.00040	 0.00040	18.4	84.3
2004er     	16.94	 0.02	 0.01030	 0.00050	10.1	77.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2004fx     	17.53	 0.02	 0.00070	 0.00070	18.4	59.2	     	     	 	        	       	 	    	    	      	     	        	        	    	
2005J      	16.63	 0.02	 0.01440	 0.00050	 7.1	64.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2005dq     	17.27	 0.07	 0.02560	 0.00210	 7.3	57.2	17.39	 0.06	 	 0.01570	 0.0015	 	19.2	57.2	 16.89	 0.06	 0.02200	 0.00190	 9.3	49.2
2005cs     	14.52	 0.01	 0.00630	 0.00060	 1.4	51.4	14.43	 0.01	 	-0.00390	 0.0004	 	 5.5	61.4	 14.42	 0.01	-0.00860	 0.00040	 5.5	63.3
2005dx     	19.03	 0.03	 0.01610	 0.00100	10.1	51.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2005dz     	17.87	 0.01	 0.01140	 0.00040	 9.3	56.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2006Y      	17.68	 0.10	 0.05000	 0.00530	 9.0	32.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2006iw     	18.52	 0.02	 0.01180	 0.00080	 8.0	65.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2006ai     	16.13	 0.04	 0.02850	 0.00140	 5.0	53.7	     	     	 	        	       	 	    	    	      	     	        	        	    	
2006bp     	15.08	 0.02	 0.00810	 0.00080	 6.8	51.5	14.77	 0.03	 	 0.00170	 0.0015	 	 4.1	30.2	      	     	        	        	    	
2007W      	17.55	 0.02	 0.00300	 0.00060	11.0	70.9	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007U      	17.13	 0.07	 0.02250	 0.00230	 9.0	50.9	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007X      	15.19	 0.04	 0.01830	 0.00120	10.1	54.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007ab     	17.67	 0.09	 0.02860	 0.00210	35.1	56.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007it     	18.80	 0.02	 0.00830	 0.00060	14.2	79.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007ld     	17.86	 0.04	 0.01960	 0.00150	 6.0	48.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2007od     	14.16	 0.02	 0.01460	 0.00070	 5.5	55.5	13.92	 0.03	 	 0.01000	 0.0008	 	 6.6	58.2	 13.71	 0.06	 0.01030	 0.00180	 6.6	58.2
2008M      	15.91	 0.04	 0.01220	 0.00130	13.0	55.8	     	     	 	        	       	 	    	    	      	     	        	        	    	
2008K      	17.70	 0.03	 0.02780	 0.00090	 7.1	61.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2008aw     	15.30	 0.05	 0.02850	 0.00150	13.1	45.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2008fq     	15.35	 0.06	 0.03330	 0.00200	12.6	46.5	     	     	 	        	       	 	    	    	      	     	        	        	    	
2008if     	15.38	 0.03	 0.03060	 0.00120	11.0	48.0	     	     	 	        	       	 	    	    	      	     	        	        	    	
2008in     	15.45	 0.08	 0.02710	 0.00190	 7.9	57.8	15.10	 0.03	 	 0.00820	 0.0006	 	 4.9	63.7	 14.77	 0.06	 0.00550	 0.00120	 4.9	69.7
2009N      	16.28	 0.02	 0.00320	 0.00040	13.1	71.1	16.03	 0.02	 	-0.00260	 0.0005	 	11.6	55.6	 15.87	 0.02	-0.00790	 0.00040	11.7	62.4
2009bw     	14.74	 0.02	 0.02060	 0.00080	 9.0	53.8	14.51	 0.02	 	 0.01270	 0.0006	 	 9.7	56.9	 14.33	 0.02	 0.00650	 0.00070	 9.0	66.1
2009dd     	14.58	 0.05	 0.01840	 0.00210	11.2	46.1	     	     	 	        	       	 	    	    	      	     	        	        	    	
2009ib     	15.73	 0.02	 0.00890	 0.00060	13.1	55.0	15.52	 0.02	 	 0.00350	 0.0005	 	13.1	63.0	 15.46	 0.01	-0.00160	 0.00030	13.1	80.0
2009js     	17.27	 0.02	 0.00450	 0.00060	 8.8	56.5	16.77	 0.01	 	 0.00160	 0.0004	 	11.6	61.6	 16.56	 0.02	-0.00430	 0.00040	11.6	61.6
2009kr     	15.25	 0.02	 0.02720	 0.00060	 9.1	54.3	15.02	 0.03	 	 0.01750	 0.0008	 	11.2	62.3	 14.61	 0.02	 0.01830	 0.00070	11.2	62.3
2009md     	16.98	 0.04	 0.00590	 0.00090	22.0	57.7	16.72	 0.03	 	 0.00110	 0.0007	 	18.0	62.5	 16.66	 0.05	-0.00230	 0.00090	19.6	74.5
2010id     	18.83	 0.05	 0.00560	 0.00140	 4.0	79.8	18.86	 0.04	 	-0.00010	 0.0011	 	 6.0	79.8	 18.58	 0.05	-0.00820	 0.00160	 6.0	76.8
2012A      	13.72	 0.03	 0.01460	 0.00090	 9.5	53.5	13.56	 0.03	 	 0.00770	 0.0007	 	 8.4	65.6	 13.51	 0.03	 0.00380	 0.00080	11.6	65.6
2012aw     	13.25	 0.02	 0.00510	 0.00060	 9.8	54.6	13.11	 0.01	 	-0.00030	 0.0003	 	12.9	62.6	 13.14	 0.01	-0.00650	 0.00030	 6.1	67.0
2012ec     	14.79	 0.03	 0.00730	 0.00090	12.2	51.9	14.64	 0.04	 	 0.00230	 0.0010	 	15.3	59.2	 14.62	 0.03	-0.00340	 0.00080	14.6	69.2
LSQ13cuw   	     	     	        	        	    	    	17.90	 0.08	 	 0.04670	 0.0020	 	13.4	59.4	 18.10	 0.18	 0.03840	 0.00350	27.8	75.6
OGLE13-005 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-18.09	 0.06	 0.00310	 0.00150	 8.9	62.9
OGLE13-011 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-18.02	 0.08	 0.00760	 0.00170	12.4	64.3
OGLE13-045 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-18.62	 0.10	 0.00770	 0.00180	17.4	78.3
OGLE13-046 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-17.97	 0.08	 0.00400	 0.00200	 9.0	57.8
OGLE13-047 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-19.09	 0.05	 0.01550	 0.00110	10.5	67.3
OGLE13-048 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-17.55	 0.08	 0.00130	 0.00140	19.4	92.3
OGLE13-135 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-18.42	 0.05	 0.00230	 0.00120	13.0	68.9
OGLE13-144 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-17.84	 0.06	 0.00960	 0.00140	 6.0	63.9
OGLE14-004 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-17.07	 0.05	 0.00270	 0.00160	 2.5	53.3
OGLE14-009 	     	     	        	        	    	    	     	     	 	        	       	 	    	    	-18.05	 0.07	 0.01240	 0.00180	 6.5	61.3
