#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-26T12:23:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d3af0b702f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/459/3939&tab:{J/MNRAS/459/3939/table2}&key:source=J/MNRAS/459/3939/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/459/3939/table2
#-order=I
#-out=LC
#-out=LC_param
#-out=Name
#-out=mu
#-out=e_mu
#-out=r_mu
#-out=Epoch
#-out=e_Epoch
#-out=r_Epoch
#-out=E(B-V)h
#-out=e_E(B-V)h
#-out=r_E(B-V)h
#-out=E(B-V)MW
#-out=Host
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74593939
#Name: J/MNRAS/459/3939
#Title: Type II supernova light curves (Valenti+, 2016)
#Table	J_MNRAS_459_3939_table2:
#Name: J/MNRAS/459/3939/table2
#Title: SNe type II
#Column	LC	(A1)	[*] * indicates light curves in tabled1.dat	[ucd=meta.code]
#Column	LC_param	(A1)	indicates light curve parameters in tables D2-D5	[ucd=meta.ref.url]
#Column	Name	(a11)	SN name	[ucd=meta.id;meta.main]
#Column	mu	(F5.2)	Distance modulus	[ucd=phot.mag.distMod]
#Column	e_mu	(F5.2)	rms uncertainty on mu	[ucd=stat.error]
#Column	r_mu	(A1)	Reference for mu, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Epoch	(F10.2)	Explosion epoch	[ucd=time.epoch]
#Column	e_Epoch	(F4.1)	rms uncertainty on Epoch	[ucd=stat.error;time.epoch]
#Column	r_Epoch	(A2)	Reference for Epoch, in refs.dat file	[ucd=meta.ref]
#Column	E(B-V)h	(F5.2)	Host redenning	[ucd=phot.color.excess]
#Column	e_E(B-V)h	(F5.2)	rms uncertainty on E(B-V)h	[ucd=stat.error]
#Column	r_E(B-V)h	(A2)	Reference for E(B-V)h, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	E(B-V)MW	(F5.2)	Milky Way redenning	[ucd=phot.color.excess]
#Column	Host	(a23)	Host galaxy name	[ucd=meta.id.parent]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad and OGLE database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad and OGLE database (declination part)	[ucd=pos.eq.dec;meta.main]
LC	LC_param	Name	mu	e_mu	r_mu	Epoch	e_Epoch	r_Epoch	E(B-V)h	e_E(B-V)h	r_E(B-V)h	E(B-V)MW	Host	SimbadName	_RA	_DE
 	 	 	 	 	 	d	d	 	mag	mag	 	mag	 	 	deg	deg
-	-	-----------	-----	-----	-	----------	----	--	-----	-----	--	-----	-----------------------	----------------	---------	---------
*	*	2013ai     	32.20	 0.15	a	2456348.00	 5.0	w 	 0.15	 0.08	w 	 0.08	NGC2207                	SN 2013ai       	094.07646	-21.37581
*	*	2013bu     	30.79	 0.08	b	2456399.80	 4.5	w 	 0.00	 0.00	w 	 0.08	NGC7331                	SN 2013bu       	339.25904	+34.40144
*	*	2013fs     	33.45	 0.15	a	2456571.12	 0.5	ll	 0.00	 0.00	w 	 0.04	NGC7610                	SN 2013fs       	349.93625	+10.18472
*	*	LSQ13dpa   	35.08	 0.15	a	2456642.70	 2.0	w 	 0.00	 0.00	w 	 0.04	LCSBS1492O             	LSQ13dpa        	165.30379	-05.84792
*	*	2014cy     	31.87	 0.15	a	2456900.00	 1.0	w 	 0.00	 0.00	w 	 0.05	NGC7742                	SN 2014cy       	356.06679	+10.77014
*	*	2014dw     	32.46	 0.15	a	2456958.00	10.0	w 	 0.11	 0.06	w 	 0.11	NGC3568                	SN 2014dw       	167.70171	-37.45061
*	*	LSQ14gv    	35.15	 0.15	a	2456674.80	 2.0	w 	 0.00	 0.00	w 	 0.06	2MASX J10541092-1501228	LSQ14gv         	163.54875	-15.02492
*	*	ASASSN-14dq	33.26	 0.15	a	2456841.50	 5.5	w 	 0.00	 0.00	w 	 0.07	UGC11860               	ASASSN-14dq     	329.49987	+24.26892
*	*	ASASSN-14gm	31.74	 0.15	a	2456901.00	 1.5	w 	 0.00	 0.00	w 	 0.10	NGC0337                	ASASSN-14gm     	014.94929	-07.57183
*	*	ASASSN-14kg	33.83	 0.15	a	2456970.00	 3.0	w 	 0.25	 0.12	w 	 0.04	CGCG521-075            	ASASSN-14kg     	026.15992	+35.80569
*	*	ASASSN-14ha	29.53	 0.50	a	2456910.50	 1.5	w 	 0.00	 0.00	w 	 0.01	NGC1566                	ASASSN-14ha     	065.00587	-54.93806
*	*	2015W      	33.74	 0.15	a	2457025.00	10.0	w 	 0.00	 0.00	w 	 0.15	UGC03617               	SN 2015W        	104.42929	+13.57936
 	*	2013ab     	31.90	 0.08	d	2456340.00	 1.0	d 	 0.02	 0.07	d 	 0.02	1430+101               	SN 2013ab       	218.18537	+09.88675
 	*	2013by     	30.81	 0.15	a	2456404.00	 2.0	x 	 0.00	 0.00	x 	 0.23	ESO138-G010            	SN 2013by       	254.76012	-60.19494
 	*	2013ej     	29.79	 0.20	c	2456497.00	 1.0	y 	 0.00	 0.00	y 	 0.06	MESSIER074             	SN 2013ej       	024.20067	+15.75861
 	*	2014G      	31.90	 0.15	a	2456668.35	 1.0	w 	 0.20	 0.00	kk	 0.01	NGC3448                	SN 2014G        	163.64221	+54.29914
