JD,Line,Velocity [km/s],Velocity_Error [km/s]
2457031,FeII 5169,4339.39,45.50
2457041,FeII 5169,3874.65,79.18
2457055,FeII 5169,4293.67,57.17
2457065,FeII 5169,4414.76,42.67
2457065,FeII 5169,4200.04,31.17
2457070,FeII 5169,4306.07,59.07
2457086,FeII 5169,4178.76,38.27
2457100,FeII 5169,4041.62,28.37
2457113,FeII 5169,4106.25,38.31
2457120,FeII 5169,4029.37,29.16
2457138,FeII 5169,4022.34,16.61
2457151,FeII 5169,4043.57,40.24
2457154,FeII 5169,4044.01,82.27
2457163,FeII 5169,4061.88,45.83
2457173,FeII 5169,4042.63,41.48
2457181,FeII 5169,3629.57,62.82
2457194,FeII 5169,3418.29,183.15
2457286,FeII 5169,3801.11,40.09
2457298,FeII 5169,3554.16,31.03
2457303,FeII 5169,3624.62,23.65
2457303,FeII 5169,4002.64,35.26
2457309,FeII 5169,3946.05,14.99
2457310,FeII 5169,3561.71,82.18
2457322,FeII 5169,3886.38,66.53
2457330,FeII 5169,3843.02,52.59
2457337,FeII 5169,3783.74,18.09
2457343,FeII 5169,3830.32,54.32
2457354,FeII 5169,4061.12,45.64
2457359,FeII 5169,4326.71,41.62
2457364,FeII 5169,3824.36,30.24
2457368,FeII 5169,4045.68,141.18
2457374,FeII 5169,3941.62,43.77
2457380,FeII 5169,4188.32,30.45
2457386,FeII 5169,3923.32,28.65
2457392,FeII 5169,3981.45,22.06
2457395,FeII 5169,3945.08,10.89
2457397,FeII 5169,3862.15,38.88
2457399,FeII 5169,4164.32,23.06
2457403,FeII 5169,3875.13,17.89
2457408,FeII 5169,4020.14,35.69
2457418,FeII 5169,3905.95,50.55
2457423,FeII 5169,3678.85,22.86
2457428,FeII 5169,4090.85,47.18
2457433,FeII 5169,3943.64,20.10
2457438,FeII 5169,3814.79,107.19
2457443,FeII 5169,3330.86,122.12
2457448,FeII 5169,3874.02,22.14
2457454,FeII 5169,3884.84,21.30
2457459,FeII 5169,3915.05,25.27
2457467,FeII 5169,3702.72,78.76
2457472,FeII 5169,3775.16,61.71
2457477,FeII 5169,4048.61,17.10
2457482,FeII 5169,3813.92,62.37
2457489,FeII 5169,4001.89,26.24
2457494,FeII 5169,3965.77,161.79
2457506,FeII 5169,3885.71,23.73
2457511,FeII 5169,4009.50,42.31
2457521,FeII 5169,3859.99,52.74
2457527,FeII 5169,4592.42,121.91
2457532,FeII 5169,3529.56,141.50
2457031,Halpha,8851.40,172.80
2457041,Halpha,8297.97,313.21
