JD,Radius_Type,Radius [cm],Radius_Low [cm],Radius_High [cm]
2457062.80,Blackbody,2.11e+15,1.95e+15,2.19e+15
2457071.78,Blackbody,3.27e+15,3.18e+15,3.35e+15
2457077.61,Blackbody,3.05e+15,2.96e+15,3.17e+15
2457087.82,Blackbody,2.87e+15,2.76e+15,2.97e+15
2457091.83,Blackbody,3.15e+15,3.02e+15,3.27e+15
2457095.59,Blackbody,3.13e+15,3.02e+15,3.23e+15
2457100.59,Blackbody,3.05e+15,2.96e+15,3.14e+15
2457104.60,Blackbody,3.13e+15,3.05e+15,3.18e+15
2457108.81,Blackbody,3.35e+15,3.25e+15,3.44e+15
2457119.68,Blackbody,3.19e+15,2.95e+15,3.25e+15
2457124.76,Blackbody,3.82e+15,3.71e+15,3.92e+15
2457129.70,Blackbody,3.15e+15,3.09e+15,3.22e+15
2457133.76,Blackbody,3.20e+15,3.13e+15,3.26e+15
2457137.70,Blackbody,3.17e+15,3.10e+15,3.26e+15
2457144.74,Blackbody,2.84e+15,2.77e+15,2.92e+15
2457148.73,Blackbody,3.24e+15,3.17e+15,3.31e+15
2457152.70,Blackbody,3.25e+15,3.19e+15,3.31e+15
2457156.70,Blackbody,3.37e+15,3.24e+15,3.50e+15
2457160.69,Blackbody,3.40e+15,3.34e+15,3.47e+15
2457167.67,Blackbody,3.26e+15,3.19e+15,3.33e+15
2457172.64,Blackbody,3.27e+15,3.18e+15,3.35e+15
2457183.76,Blackbody,3.14e+15,2.41e+15,3.26e+15
2457288.12,Blackbody,2.94e+15,2.89e+15,2.98e+15
2457297.98,Blackbody,2.76e+15,2.61e+15,2.92e+15
2457309.98,Blackbody,2.38e+15,2.30e+15,2.48e+15
2457312.99,Blackbody,2.44e+15,2.33e+15,2.54e+15
2457315.97,Blackbody,2.89e+15,2.79e+15,3.03e+15
2457321.90,Blackbody,2.71e+15,2.57e+15,2.85e+15
2457329.00,Blackbody,2.72e+15,2.58e+15,2.85e+15
2457333.96,Blackbody,2.64e+15,2.53e+15,2.73e+15
2457336.86,Blackbody,2.50e+15,2.41e+15,2.58e+15
2457339.85,Blackbody,2.50e+15,2.43e+15,2.57e+15
2457350.10,Blackbody,2.72e+15,2.67e+15,2.77e+15
2457350.86,Blackbody,2.07e+15,1.97e+15,2.18e+15
2457356.97,Blackbody,2.68e+15,2.62e+15,2.75e+15
2457358.92,Blackbody,2.52e+15,2.44e+15,2.60e+15
2457359.95,Blackbody,2.82e+15,2.76e+15,2.87e+15
