JD,Luminosity [erg/s],Luminosity_Low [erg/s],Luminosity_High [erg/s]
2457071.78,8.67e+42,8.54e+42,8.78e+42
2457077.61,8.14e+42,8.01e+42,8.27e+42
2457087.82,7.41e+42,7.29e+42,7.52e+42
2457091.83,7.32e+42,7.19e+42,7.45e+42
2457095.59,7.17e+42,7.06e+42,7.27e+42
2457100.59,7.58e+42,7.50e+42,7.66e+42
2457104.60,7.30e+42,7.21e+42,7.38e+42
2457108.81,6.90e+42,6.80e+42,6.99e+42
2457119.68,6.56e+42,6.02e+42,6.65e+42
2457124.76,7.27e+42,7.15e+42,7.39e+42
2457129.70,6.65e+42,6.59e+42,6.72e+42
2457133.76,6.57e+42,6.50e+42,6.64e+42
2457137.70,6.74e+42,6.67e+42,6.82e+42
2457144.74,7.27e+42,7.21e+42,7.35e+42
2457148.73,7.94e+42,7.86e+42,8.01e+42
2457152.70,8.80e+42,8.74e+42,8.87e+42
2457156.70,9.65e+42,9.49e+42,9.83e+42
2457160.69,9.99e+42,9.92e+42,1.01e+43
2457167.67,9.29e+42,9.20e+42,9.37e+42
2457172.64,8.66e+42,8.57e+42,8.76e+42
2457183.76,7.25e+42,6.91e+42,7.40e+42
2457288.12,6.23e+42,6.20e+42,6.27e+42
2457297.98,5.84e+42,5.69e+42,5.99e+42
2457309.98,5.62e+42,5.53e+42,5.71e+42
2457312.99,5.91e+42,5.79e+42,6.01e+42
2457315.97,6.49e+42,6.36e+42,6.63e+42
2457321.90,6.21e+42,6.06e+42,6.36e+42
2457329.00,6.67e+42,6.52e+42,6.82e+42
2457333.96,6.56e+42,6.44e+42,6.66e+42
2457336.86,6.56e+42,6.47e+42,6.64e+42
2457339.85,6.32e+42,6.26e+42,6.39e+42
2457350.10,6.70e+42,6.65e+42,6.76e+42
2457350.86,6.25e+42,6.16e+42,6.34e+42
2457356.97,6.59e+42,6.53e+42,6.65e+42
2457358.92,6.27e+42,6.19e+42,6.35e+42
2457359.95,6.49e+42,6.44e+42,6.55e+42
2457365.07,5.87e+42,5.83e+42,5.92e+42
2457367.88,5.64e+42,5.56e+42,5.72e+42
2457368.96,5.58e+42,5.54e+42,5.62e+42
2457370.96,5.80e+42,5.69e+42,5.90e+42
2457373.11,5.13e+42,5.07e+42,5.19e+42
2457373.81,5.37e+42,5.25e+42,5.46e+42
2457380.94,4.54e+42,4.49e+42,4.59e+42
2457386.97,4.25e+42,4.21e+42,4.30e+42
2457389.89,4.09e+42,4.05e+42,4.12e+42
2457393.09,4.04e+42,3.98e+42,4.09e+42
2457394.73,4.05e+42,3.95e+42,4.13e+42
2457395.89,4.00e+42,3.96e+42,4.04e+42
2457397.90,3.82e+42,3.75e+42,3.90e+42
2457398.98,3.84e+42,3.75e+42,3.88e+42
2457402.01,3.93e+42,3.89e+42,3.97e+42
2457405.16,3.73e+42,3.69e+42,3.77e+42
2457407.82,3.84e+42,3.77e+42,3.90e+42
2457413.98,3.73e+42,3.64e+42,3.81e+42
2457415.99,3.75e+42,3.68e+42,3.81e+42
2457416.82,3.44e+42,3.40e+42,3.49e+42
2457419.90,3.35e+42,3.31e+42,3.38e+42
2457422.80,3.45e+42,3.42e+42,3.47e+42
2457425.72,3.65e+42,3.59e+42,3.70e+42
2457428.88,3.33e+42,3.31e+42,3.36e+42
2457431.95,3.50e+42,3.45e+42,3.54e+42
2457434.92,3.45e+42,3.34e+42,3.50e+42
2457437.86,3.28e+42,3.21e+42,3.36e+42
2457444.92,3.19e+42,3.14e+42,3.26e+42
2457450.85,3.09e+42,3.06e+42,3.12e+42
2457458.88,3.16e+42,3.12e+42,3.21e+42
2457461.83,2.88e+42,2.85e+42,2.90e+42
2457464.77,2.75e+42,2.72e+42,2.78e+42
2457476.83,2.80e+42,2.76e+42,2.84e+42
2457482.80,2.65e+42,2.63e+42,2.67e+42
2457490.70,2.71e+42,2.68e+42,2.74e+42
2457493.67,2.63e+42,2.59e+42,2.67e+42
2457499.65,2.45e+42,2.41e+42,2.49e+42
2457505.74,2.61e+42,2.56e+42,2.66e+42
2457508.69,2.54e+42,2.51e+42,2.57e+42
2457509.72,2.48e+42,2.45e+42,2.50e+42
2457511.68,2.42e+42,2.39e+42,2.45e+42
2457513.73,2.44e+42,2.41e+42,2.47e+42
