spec      JD       Hb      NII5680   HeI5876   NaID    Ha       FeII(42)   SiII6355     Tbb   eT   BaII6142    ScII6246
30/6   53552.44   6600      5580      6370     99999   7330        99999     99999     29000 6000    99999       99999 
01/7   53553.41   6240      4970      5900     99999   6820        99999     99999     26500 2500    99999       99999
02/7AF 53554.39   5870      4320      5490     99999   6340        99999     99999     22500 1500    99999       99999
02/7BC 53554.45   6030      99999     5590     99999   6370        99999     99999     22700 4000    99999       99999
05/7   53557.43   5690      99999     5270     99999   6160        5140      4330      12600 1300    99999       99999
06/7   53558.5    99999     99999     4680     99999   6020        4760      4150      11300 1500    99999       99999
11/7AF 53563.36   4880      99999     99999     3870   5250        4030      3380       9900 1300    99999        3790
11/7TG 53563.44   4800      99999     99999     3820   5240        4010      3380       9800 1000     3370        3810
14/7   53566.35   4250      99999     99999     3530   4800        3600      2960       8800  700     2730        3370
15/7   53567.42   4220      99999     99999    99999   4650        3600      99999	8900 1100    99999       99999
19/7   53571.45   3890      99999     99999     3110   4260        3180      2740	8000 1500    99999       99999 
31/7   53583.44   2230      99999     99999     2340   3680        2260      2130       7400  800     1770        2040
10/8   53593.41   1840:     99999     99999     2240   2300        2070      99999     99999  000     1730        1880
27/8   53610.38   1330:     99999     99999     1900   1680        1660      99999     99999  000     1560        1550
11/10  53655.28   99999     99999     99999    99999   1370        99999     99999     99999  000    99999       99999
29/10  53672.71   99999     99999     99999    99999   1300        99999     99999     99999  000     1290        1090  
08/11  53682.69   99999     99999     99999    99999   1070        99999     99999     99999  000    99999         920 
11/12  53715.64   99999     99999     99999    99999   1090        99999     99999     99999  000    99999       99999         
22/12  53726.58   99999     99999     99999    99999   1220        99999     99999     99999  000    99999         850
