,datetime,line,absorption_mean_velocity,absorption_std_velocity,t_from_discovery,Name
0,57030.5,FeII 5169,4339.39,45.5,107.9701388888061,SNiPTF14hls
1,57040.5,FeII 5169,3874.65,79.18,117.9701388888061,SNiPTF14hls
2,57054.5,FeII 5169,4293.67,57.17,131.9701388888061,SNiPTF14hls
3,57064.5,FeII 5169,4414.76,42.67,141.9701388888061,SNiPTF14hls
4,57064.5,FeII 5169,4200.04,31.17,141.9701388888061,SNiPTF14hls
5,57069.5,FeII 5169,4306.07,59.07,146.9701388888061,SNiPTF14hls
6,57085.5,FeII 5169,4178.76,38.27,162.9701388888061,SNiPTF14hls
7,57099.5,FeII 5169,4041.62,28.37,176.9701388888061,SNiPTF14hls
8,57112.5,FeII 5169,4106.25,38.31,189.9701388888061,SNiPTF14hls
9,57119.5,FeII 5169,4029.37,29.16,196.9701388888061,SNiPTF14hls
10,57137.5,FeII 5169,4022.34,16.61,214.9701388888061,SNiPTF14hls
11,57150.5,FeII 5169,4043.57,40.24,227.9701388888061,SNiPTF14hls
12,57153.5,FeII 5169,4044.01,82.27,230.9701388888061,SNiPTF14hls
13,57162.5,FeII 5169,4061.88,45.83,239.9701388888061,SNiPTF14hls
14,57172.5,FeII 5169,4042.63,41.48,249.9701388888061,SNiPTF14hls
15,57180.5,FeII 5169,3629.57,62.82,257.9701388888061,SNiPTF14hls
16,57193.5,FeII 5169,3418.29,183.15,270.9701388888061,SNiPTF14hls
17,57285.5,FeII 5169,3801.11,40.09,362.9701388888061,SNiPTF14hls
18,57297.5,FeII 5169,3554.16,31.03,374.9701388888061,SNiPTF14hls
19,57302.5,FeII 5169,3624.62,23.65,379.9701388888061,SNiPTF14hls
20,57302.5,FeII 5169,4002.64,35.26,379.9701388888061,SNiPTF14hls
21,57308.5,FeII 5169,3946.05,14.99,385.9701388888061,SNiPTF14hls
22,57309.5,FeII 5169,3561.71,82.18,386.9701388888061,SNiPTF14hls
23,57321.5,FeII 5169,3886.38,66.53,398.9701388888061,SNiPTF14hls
24,57329.5,FeII 5169,3843.02,52.59,406.9701388888061,SNiPTF14hls
25,57336.5,FeII 5169,3783.74,18.09,413.9701388888061,SNiPTF14hls
26,57342.5,FeII 5169,3830.32,54.32,419.9701388888061,SNiPTF14hls
27,57353.5,FeII 5169,4061.12,45.64,430.9701388888061,SNiPTF14hls
28,57358.5,FeII 5169,4326.71,41.62,435.9701388888061,SNiPTF14hls
29,57363.5,FeII 5169,3824.36,30.24,440.9701388888061,SNiPTF14hls
30,57367.5,FeII 5169,4045.68,141.18,444.9701388888061,SNiPTF14hls
31,57373.5,FeII 5169,3941.62,43.77,450.9701388888061,SNiPTF14hls
32,57379.5,FeII 5169,4188.32,30.45,456.9701388888061,SNiPTF14hls
33,57385.5,FeII 5169,3923.32,28.65,462.9701388888061,SNiPTF14hls
34,57391.5,FeII 5169,3981.45,22.06,468.9701388888061,SNiPTF14hls
35,57394.5,FeII 5169,3945.08,10.89,471.9701388888061,SNiPTF14hls
36,57396.5,FeII 5169,3862.15,38.88,473.9701388888061,SNiPTF14hls
37,57398.5,FeII 5169,4164.32,23.06,475.9701388888061,SNiPTF14hls
38,57402.5,FeII 5169,3875.13,17.89,479.9701388888061,SNiPTF14hls
39,57407.5,FeII 5169,4020.14,35.69,484.9701388888061,SNiPTF14hls
40,57417.5,FeII 5169,3905.95,50.55,494.9701388888061,SNiPTF14hls
41,57422.5,FeII 5169,3678.85,22.86,499.9701388888061,SNiPTF14hls
42,57427.5,FeII 5169,4090.85,47.18,504.9701388888061,SNiPTF14hls
43,57432.5,FeII 5169,3943.64,20.1,509.9701388888061,SNiPTF14hls
44,57437.5,FeII 5169,3814.79,107.19,514.9701388888061,SNiPTF14hls
45,57442.5,FeII 5169,3330.86,122.12,519.9701388888061,SNiPTF14hls
46,57447.5,FeII 5169,3874.02,22.14,524.9701388888061,SNiPTF14hls
47,57453.5,FeII 5169,3884.84,21.3,530.9701388888061,SNiPTF14hls
48,57458.5,FeII 5169,3915.05,25.27,535.9701388888061,SNiPTF14hls
49,57466.5,FeII 5169,3702.72,78.76,543.9701388888061,SNiPTF14hls
50,57471.5,FeII 5169,3775.16,61.71,548.9701388888061,SNiPTF14hls
51,57476.5,FeII 5169,4048.61,17.1,553.9701388888061,SNiPTF14hls
52,57481.5,FeII 5169,3813.92,62.37,558.9701388888061,SNiPTF14hls
53,57488.5,FeII 5169,4001.89,26.24,565.9701388888061,SNiPTF14hls
54,57493.5,FeII 5169,3965.77,161.79,570.9701388888061,SNiPTF14hls
55,57505.5,FeII 5169,3885.71,23.73,582.9701388888061,SNiPTF14hls
56,57510.5,FeII 5169,4009.5,42.31,587.9701388888061,SNiPTF14hls
57,57520.5,FeII 5169,3859.99,52.74,597.9701388888061,SNiPTF14hls
58,57526.5,FeII 5169,4592.42,121.91,603.9701388888061,SNiPTF14hls
59,57531.5,FeII 5169,3529.56,141.5,608.9701388888061,SNiPTF14hls
60,57030.5,Halpha,8851.4,172.8,107.9701388888061,SNiPTF14hls
61,57040.5,Halpha,8297.97,313.21,117.9701388888061,SNiPTF14hls
62,57054.5,Halpha,8531.73,357.99,131.9701388888061,SNiPTF14hls
63,57064.5,Halpha,7998.5,30.96,141.9701388888061,SNiPTF14hls
64,57064.5,Halpha,8110.5,38.38,141.9701388888061,SNiPTF14hls
65,57069.5,Halpha,8028.3,48.94,146.9701388888061,SNiPTF14hls
66,57085.5,Halpha,8041.21,48.45,162.9701388888061,SNiPTF14hls
67,57099.5,Halpha,7861.8,65.43,176.9701388888061,SNiPTF14hls
68,57112.5,Halpha,7940.59,24.54,189.9701388888061,SNiPTF14hls
69,57119.5,Halpha,7764.96,19.0,196.9701388888061,SNiPTF14hls
70,57137.5,Halpha,7758.49,35.98,214.9701388888061,SNiPTF14hls
71,57150.5,Halpha,7790.57,38.82,227.9701388888061,SNiPTF14hls
72,57153.5,Halpha,7692.7,21.78,230.9701388888061,SNiPTF14hls
73,57162.5,Halpha,7688.06,26.55,239.9701388888061,SNiPTF14hls
74,57172.5,Halpha,7660.52,6.48,249.9701388888061,SNiPTF14hls
75,57180.5,Halpha,7646.08,45.58,257.9701388888061,SNiPTF14hls
76,57193.5,Halpha,7627.65,63.11,270.9701388888061,SNiPTF14hls
77,57285.5,Halpha,7275.65,25.54,362.9701388888061,SNiPTF14hls
78,57297.5,Halpha,7395.21,47.77,374.9701388888061,SNiPTF14hls
79,57302.5,Halpha,7041.97,50.74,379.9701388888061,SNiPTF14hls
80,57302.5,Halpha,7304.1,54.35,379.9701388888061,SNiPTF14hls
81,57308.5,Halpha,7255.08,18.65,385.9701388888061,SNiPTF14hls
82,57309.5,Halpha,7192.08,33.22,386.9701388888061,SNiPTF14hls
83,57321.5,Halpha,7139.34,21.89,398.9701388888061,SNiPTF14hls
84,57329.5,Halpha,7057.57,17.98,406.9701388888061,SNiPTF14hls
85,57336.5,Halpha,6662.18,51.63,413.9701388888061,SNiPTF14hls
86,57342.5,Halpha,7146.53,23.77,419.9701388888061,SNiPTF14hls
87,57353.5,Halpha,6778.34,53.24,430.9701388888061,SNiPTF14hls
88,57358.5,Halpha,7203.22,25.49,435.9701388888061,SNiPTF14hls
89,57363.5,Halpha,6841.54,48.25,440.9701388888061,SNiPTF14hls
90,57367.5,Halpha,6762.94,194.56,444.9701388888061,SNiPTF14hls
91,57373.5,Halpha,7049.37,20.41,450.9701388888061,SNiPTF14hls
92,57379.5,Halpha,7024.2,17.38,456.9701388888061,SNiPTF14hls
93,57385.5,Halpha,7008.31,25.01,462.9701388888061,SNiPTF14hls
94,57391.5,Halpha,6931.55,23.85,468.9701388888061,SNiPTF14hls
95,57394.5,Halpha,7002.96,23.45,471.9701388888061,SNiPTF14hls
96,57396.5,Halpha,6959.34,19.9,473.9701388888061,SNiPTF14hls
97,57398.5,Halpha,6997.6,27.53,475.9701388888061,SNiPTF14hls
98,57402.5,Halpha,6981.01,22.57,479.9701388888061,SNiPTF14hls
99,57407.5,Halpha,6885.39,65.39,484.9701388888061,SNiPTF14hls
100,57412.5,Halpha,6852.44,77.55,489.9701388888061,SNiPTF14hls
101,57417.5,Halpha,6974.44,30.41,494.9701388888061,SNiPTF14hls
102,57422.5,Halpha,6983.56,9.73,499.9701388888061,SNiPTF14hls
103,57427.5,Halpha,6994.14,27.65,504.9701388888061,SNiPTF14hls
104,57432.5,Halpha,6916.7,27.51,509.9701388888061,SNiPTF14hls
105,57437.5,Halpha,7059.36,22.3,514.9701388888061,SNiPTF14hls
106,57442.5,Halpha,6451.54,70.53,519.9701388888061,SNiPTF14hls
107,57447.5,Halpha,6880.56,53.46,524.9701388888061,SNiPTF14hls
108,57453.5,Halpha,6734.55,23.57,530.9701388888061,SNiPTF14hls
109,57458.5,Halpha,6971.73,41.83,535.9701388888061,SNiPTF14hls
110,57466.5,Halpha,6614.84,143.0,543.9701388888061,SNiPTF14hls
111,57471.5,Halpha,6527.73,116.84,548.9701388888061,SNiPTF14hls
112,57476.5,Halpha,6809.82,30.55,553.9701388888061,SNiPTF14hls
113,57481.5,Halpha,6510.89,88.85,558.9701388888061,SNiPTF14hls
114,57488.5,Halpha,6703.98,20.19,565.9701388888061,SNiPTF14hls
115,57493.5,Halpha,6919.74,16.32,570.9701388888061,SNiPTF14hls
116,57499.5,Halpha,6248.48,525.18,576.9701388888061,SNiPTF14hls
117,57505.5,Halpha,6556.68,21.4,582.9701388888061,SNiPTF14hls
118,57510.5,Halpha,6711.97,15.89,587.9701388888061,SNiPTF14hls
119,57520.5,Halpha,6636.6,24.92,597.9701388888061,SNiPTF14hls
120,57526.5,Halpha,6046.99,498.34,603.9701388888061,SNiPTF14hls
121,57531.5,Halpha,6322.15,37.66,608.9701388888061,SNiPTF14hls
122,57543.5,Halpha,6490.59,65.4,620.9701388888061,SNiPTF14hls
123,57030.5,Hbeta,6696.34,18.41,107.9701388888061,SNiPTF14hls
124,57040.5,Hbeta,6880.98,197.09,117.9701388888061,SNiPTF14hls
125,57054.5,Hbeta,6761.64,95.19,131.9701388888061,SNiPTF14hls
126,57064.5,Hbeta,6619.66,20.77,141.9701388888061,SNiPTF14hls
127,57064.5,Hbeta,6913.01,68.65,141.9701388888061,SNiPTF14hls
128,57069.5,Hbeta,6568.91,44.65,146.9701388888061,SNiPTF14hls
129,57085.5,Hbeta,6518.39,16.81,162.9701388888061,SNiPTF14hls
130,57099.5,Hbeta,6322.45,15.25,176.9701388888061,SNiPTF14hls
131,57112.5,Hbeta,6559.97,19.5,189.9701388888061,SNiPTF14hls
132,57119.5,Hbeta,6498.32,31.56,196.9701388888061,SNiPTF14hls
133,57137.5,Hbeta,6540.67,26.43,214.9701388888061,SNiPTF14hls
134,57150.5,Hbeta,6521.96,18.61,227.9701388888061,SNiPTF14hls
135,57153.5,Hbeta,6340.18,47.99,230.9701388888061,SNiPTF14hls
136,57162.5,Hbeta,6459.13,25.15,239.9701388888061,SNiPTF14hls
137,57172.5,Hbeta,6174.07,40.99,249.9701388888061,SNiPTF14hls
138,57180.5,Hbeta,6074.89,25.4,257.9701388888061,SNiPTF14hls
139,57193.5,Hbeta,6312.83,23.84,270.9701388888061,SNiPTF14hls
140,57285.5,Hbeta,5924.91,37.47,362.9701388888061,SNiPTF14hls
141,57297.5,Hbeta,5615.41,79.44,374.9701388888061,SNiPTF14hls
142,57302.5,Hbeta,5861.73,79.24,379.9701388888061,SNiPTF14hls
143,57302.5,Hbeta,6079.22,37.32,379.9701388888061,SNiPTF14hls
144,57308.5,Hbeta,5806.47,38.74,385.9701388888061,SNiPTF14hls
145,57309.5,Hbeta,5651.41,52.25,386.9701388888061,SNiPTF14hls
146,57321.5,Hbeta,5513.98,57.36,398.9701388888061,SNiPTF14hls
147,57329.5,Hbeta,5408.71,24.61,406.9701388888061,SNiPTF14hls
148,57336.5,Hbeta,4991.15,182.07,413.9701388888061,SNiPTF14hls
149,57342.5,Hbeta,5461.12,67.63,419.9701388888061,SNiPTF14hls
150,57353.5,Hbeta,5787.04,45.47,430.9701388888061,SNiPTF14hls
151,57358.5,Hbeta,5795.4,31.8,435.9701388888061,SNiPTF14hls
152,57363.5,Hbeta,5194.57,105.14,440.9701388888061,SNiPTF14hls
153,57367.5,Hbeta,5889.04,90.01,444.9701388888061,SNiPTF14hls
154,57373.5,Hbeta,5430.21,119.63,450.9701388888061,SNiPTF14hls
155,57379.5,Hbeta,5481.57,101.18,456.9701388888061,SNiPTF14hls
156,57385.5,Hbeta,5497.36,196.62,462.9701388888061,SNiPTF14hls
157,57391.5,Hbeta,5443.39,41.31,468.9701388888061,SNiPTF14hls
158,57394.5,Hbeta,5304.72,97.08,471.9701388888061,SNiPTF14hls
159,57396.5,Hbeta,5080.66,153.18,473.9701388888061,SNiPTF14hls
160,57398.5,Hbeta,5584.17,53.07,475.9701388888061,SNiPTF14hls
161,57402.5,Hbeta,5147.83,109.33,479.9701388888061,SNiPTF14hls
162,57407.5,Hbeta,5603.37,24.47,484.9701388888061,SNiPTF14hls
163,57417.5,Hbeta,5428.34,68.17,494.9701388888061,SNiPTF14hls
164,57422.5,Hbeta,5445.41,34.12,499.9701388888061,SNiPTF14hls
165,57427.5,Hbeta,5389.3,37.15,504.9701388888061,SNiPTF14hls
166,57432.5,Hbeta,5260.49,86.66,509.9701388888061,SNiPTF14hls
167,57442.5,Hbeta,5519.66,78.64,519.9701388888061,SNiPTF14hls
168,57447.5,Hbeta,5182.95,149.02,524.9701388888061,SNiPTF14hls
169,57453.5,Hbeta,5056.95,180.33,530.9701388888061,SNiPTF14hls
170,57458.5,Hbeta,4810.62,234.56,535.9701388888061,SNiPTF14hls
171,57466.5,Hbeta,4904.79,99.99,543.9701388888061,SNiPTF14hls
172,57471.5,Hbeta,5188.99,365.57,548.9701388888061,SNiPTF14hls
173,57481.5,Hbeta,4639.48,395.53,558.9701388888061,SNiPTF14hls
174,57488.5,Hbeta,4875.31,146.99,565.9701388888061,SNiPTF14hls
175,57493.5,Hbeta,5155.06,121.28,570.9701388888061,SNiPTF14hls
176,57499.5,Hbeta,5292.71,80.34,576.9701388888061,SNiPTF14hls
177,57510.5,Hbeta,4401.04,249.91,587.9701388888061,SNiPTF14hls
