,line,absorption_mean_velocity,absorption_std_velocity,emission_mean_velocity,emission_std_velocity,t_from_discovery,Name
0,Halpha,15993.4471,113.5278054,3035.943336,203.2280487,23.09367864,SN2018hmx
0,Hbeta,9511.564746,338.5651072,1242.329524,1192.791432,23.09367864,SN2018hmx
0,FeII 5169,8497.285341,901.0428449,-3608.529161,327.0271018,23.09367864,SN2018hmx
0,FeII 5018,10877.91225,445.7147039,8289.964634,488.639837,23.09367864,SN2018hmx
0,Halpha,13622.45787,200.4703706,2600.804824,116.6116619,33.59079515,SN2018hmx
0,Hbeta,9063.372079,168.5124294,-2237.907098,666.8118339,33.59079515,SN2018hmx
0,FeII 5169,7617.953471,296.1445991,-5112.567977,1062.669613,33.59079515,SN2018hmx
0,FeII 5018,11006.65051,1623.697602,6221.429786,345.0340875,33.59079515,SN2018hmx
0,Halpha,12738.24375,290.2789435,2291.05743,170.8723526,39.38433285,SN2018hmx
0,Hbeta,9538.556579,200.2167408,-606.7462188,2360.442877,39.38433285,SN2018hmx
0,FeII 5169,6572.118765,193.9091692,-17337.78153,444.6270263,39.38433285,SN2018hmx
0,FeII 5018,9284.243865,263.3202948,5278.061925,316.5890476,39.38433285,SN2018hmx
0,Halpha,12217.45324,167.36842,1811.22596,120.0252198,45.16725541,SN2018hmx
0,Hbeta,9472.561193,173.2895507,-3943.143949,2146.71873,45.16725541,SN2018hmx
0,FeII 5169,6336.901337,322.2867638,-16468.04691,568.6470249,45.16725541,SN2018hmx
0,FeII 5018,8030.214929,429.5333071,4080.242111,156.6450829,45.16725541,SN2018hmx
0,Halpha,12109.11837,186.7476693,1802.5555,129.6885932,45.25862146,SN2018hmx
0,Hbeta,9617.412107,207.8982729,-2464.921626,1840.278196,45.25862146,SN2018hmx
0,FeII 5169,6353.974819,436.560634,-17035.43607,143.1645855,45.25862146,SN2018hmx
0,FeII 5018,8266.320565,431.6187363,3903.810921,276.3147008,45.25862146,SN2018hmx
0,Halpha,12075.3337,211.3062833,1721.540466,121.7568026,46.96958851,SN2018hmx
0,Hbeta,9533.398297,230.4178643,-4451.719863,1905.993057,46.96958851,SN2018hmx
0,FeII 5169,6177.677874,315.7998067,-16787.65917,334.6721313,46.96958851,SN2018hmx
0,FeII 5018,8086.532061,397.3113139,4244.107964,291.2291819,46.96958851,SN2018hmx
0,Halpha,11473.76189,186.8221065,1359.164826,168.0534705,56.81239073,SN2018hmx
0,Hbeta,9392.025032,282.0743737,-4819.259133,2147.759423,56.81239073,SN2018hmx
0,FeII 5169,5635.586677,231.9686795,-17250.9613,187.0895265,56.81239073,SN2018hmx
0,FeII 5018,6990.097853,425.553264,3223.46629,230.9265776,56.81239073,SN2018hmx
0,Halpha,11181.66947,199.3098464,1141.514014,176.3856919,64.33588454,SN2018hmx
0,Hbeta,8621.156272,474.7327504,-2694.42949,3183.611652,64.33588454,SN2018hmx
0,FeII 5169,4796.116181,368.4887742,-18085.37615,529.9364583,64.33588454,SN2018hmx
0,FeII 5018,6561.391141,350.0333904,2888.309145,354.7610791,64.33588454,SN2018hmx
0,Halpha,10626.42456,208.491506,815.3211068,139.8613062,83.77689467,SN2018hmx
0,Hbeta,8407.399543,242.007449,-5685.691939,691.9622289,83.77689467,SN2018hmx
0,FeII 5169,4693.360353,255.1416314,-17743.9885,605.9091816,83.77689467,SN2018hmx
0,FeII 5018,5806.664323,459.8140743,2119.902498,386.694629,83.77689467,SN2018hmx
0,Halpha,10449.84595,148.3241888,821.2284671,100.5508829,94.31770945,SN2018hmx
0,Hbeta,7559.347758,243.430244,-5954.910227,533.979782,94.31770945,SN2018hmx
0,FeII 5169,4480.076657,249.6588373,-18286.80941,403.1497576,94.31770945,SN2018hmx
0,FeII 5018,5570.235422,1322.401201,2032.288947,1057.635238,94.31770945,SN2018hmx
0,Halpha,10052.08617,151.3528235,144.2087793,124.4065396,106.7575421,SN2018hmx
0,Hbeta,7489.970282,127.1809889,-6469.512214,602.9331674,106.7575421,SN2018hmx
0,FeII 5169,3998.359557,275.9963116,-18683.21367,188.4378342,106.7575421,SN2018hmx
0,FeII 5018,5221.638096,482.6076035,1204.825598,417.9548109,106.7575421,SN2018hmx
0,Halpha,18785.68989,0,3732.487025,569.737783,19.02481178,SN2018hmx
0,Hbeta,10415.73296,3.64E-12,3814.536929,555.0271705,19.02481178,SN2018hmx
0,FeII 5169,4588.290791,265.8858387,-526.6351305,757.8211,19.02481178,SN2018hmx
0,FeII 5018,6650.417062,1271.716847,9096.070733,0,19.02481178,SN2018hmx
0,Halpha,10664.4937,174.6381222,798.8460705,236.7822827,82.61880986,SN2018hmx
0,Hbeta,8310.575794,175.1571829,-5290.624917,652.4486099,82.61880986,SN2018hmx
0,FeII 5169,5187.850003,672.4154969,-17548.50707,795.6682895,82.61880986,SN2018hmx
0,FeII 5018,6009.911447,390.6060906,2353.423021,470.4581364,82.61880986,SN2018hmx
